Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
superpathway of hexuronide and hexuronate degradation	Superpathways	Superpathways	Bacteria <bacteria>	Escherichia coli	superpathway of &beta;-D-glucuronosides degradation // D-galacturonate degradation I	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
NAD salvage pathway III (to nicotinamide riboside)	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Bacteria <bacteria>	Aggregatibacter actinomycetemcomitans // Escherichia coli // Haemophilus influenzae // Lactococcus lactis // Nostoc punctiforme // Pasteurella multocida // [Haemophilus] ducreyi	beta-nicotinamide D-ribonucleotide + H2O  ->  1-(beta-D ribofuranosyl)nicotinamide + phosphate // NADP+ + H2O  ->  NAD+ + phosphate // NAD+ + H2O  ->  AMP + beta-nicotinamide D-ribonucleotide + 2 H+	NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)
"L-tryptophan degradation X (mammalian, via tryptamine)"	Amino Acid Degradation	L-tryptophan Degradation	Mammalia	Sus scrofa // Mus musculus // Rattus norvegicus // Homo sapiens	indole acetaldehyde reductase // tryptamine + H2O + dioxygen  ->  ammonium + (indol-3-yl)acetaldehyde + hydrogen peroxide // (indol-3-yl)acetaldehyde + NAD+ + H2O  ->  (indol-3-yl)acetate + NADH + 2 H+ // L-tryptophan + H+  ->  tryptamine + CO2	PWY-6307	"L-tryptophan degradation X (mammalian, via tryptamine)"
mannitol degradation II	Carbohydrate Degradation // Secondary Metabolite Degradation	mannitol degradation // Sugar Degradation	Tracheophyta	Apium graveolens // Cassia coluteoides	aldehydo-D-mannose  <-->  D-mannopyranose // D-mannitol + NAD+  <-->  aldehydo-D-mannose + NADH + H+ // D-mannopyranose + ATP  ->  D-mannopyranose 6-phosphate + ADP + H+ // D-mannopyranose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate	PWY-3861	mannitol degradation II
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	Generation of Precursor Metabolites and Energy	Respiration	Eukaryota // Bacteria <bacteria> // Archaea	Geobacillus stearothermophilus // Homo sapiens // Mus musculus // Pseudomonas aeruginosa // Pseudomonas putida // Rattus norvegicus // Saccharolobus solfataricus // Synechocystis	an [apo BCAA dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  <-->  a [BCAA dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+ // isobutanoyl-CoA + an [apo BCAA dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  <-->  an [apo BCAA dehydrogenase E2 protein] N6-S-[2-methylpropanoyl]dihydrolipoyl-L-lysine + coenzyme A // 3-methyl-2-oxobutanoate + a [BCAA dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  <-->  an [apo BCAA dehydrogenase E2 protein] N6-S-[2-methylpropanoyl]dihydrolipoyl-L-lysine + CO2	PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
diadinoxanthin and fucoxanthin biosynthesis	Secondary Metabolite Biosynthesis	C<sub>40</sub> Carotenoid Biosynthesis	Bacillariophyta // Dinophyceae // Xanthophyceae // Chrysophyceae	Stephanocyclus meneghinianus // Phaeodactylum tricornutum	"trans-neoxanthin + a reduced two electron carrier  ->  7,8-dihydroneoxanthin + an oxidized electron carrier // fucoxanthinol + NAD+  ->  amarouciaxanthin A + NADH + H+ // 7,8-dihydroneoxanthin + 2 a reduced two electron carrier + 2 dioxygen  ->  fucoxanthinol + 2 an oxidized electron carrier + 3 H2O // fucoxanthinol + acetyl-CoA  ->  fucoxanthin + coenzyme A // trans-neoxanthin  ->  diadinoxanthin + H2O"	PWY-7950	diadinoxanthin and fucoxanthin biosynthesis
superpathway of NAD biosynthesis in eukaryotes	"Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis // Superpathways	Eukaryota	Saccharomyces cerevisiae	NAD salvage pathway IV (from nicotinamide riboside) // NAD <i>de novo</i> biosynthesis II (from tryptophan) // NAD salvage pathway V (PNC V cycle)	PWY-3502	superpathway of NAD biosynthesis in eukaryotes
L-tryptophan degradation XIII (reductive Stickland reaction)	Generation of Precursor Metabolites and Energy // Superpathways // Amino Acid Degradation	Stickland Fermentation (Reductive Branch) // Superpathways // L-tryptophan Degradation	Bacteria <bacteria>	Clostridium sporogenes	(R)-3-(indol-3-yl)lactoyl-CoA  ->  3-(indol-3-yl)acryloyl-CoA + H2O // 3-(indol-3-yl)acryloyl-CoA + (R)-3-(indol-3-yl)lactate  <-->  3-(indol-3-yl)acrylate + (R)-3-(indol-3-yl)lactoyl-CoA // L-tryptophan degradation IV (via indole-3-lactate) // L-tryptophan + 2-oxoglutarate  <-->  (indol-3-yl)pyruvate + L-glutamate // (R)-3-(indol-3-yl)lactate + NAD+  <-  (indol-3-yl)pyruvate + NADH + H+ // 3-(1H-indol-3-yl)propanoate + an oxidized electron-transfer flavoprotein + H+  <-  3-(indol-3-yl)acrylate + a reduced electron-transfer flavoprotein	PWY-8017	L-tryptophan degradation XIII (reductive Stickland reaction)
melibiose degradation	Carbohydrate Degradation	Sugar Degradation	Eukaryota // Bacteria <bacteria> // Archaea	Escherichia coli	melibiose + H2O  ->  D-galactopyranose + D-glucopyranose	PWY0-1301	melibiose degradation
&alpha;-carotene biosynthesis	Secondary Metabolite Biosynthesis	C<sub>40</sub> Carotenoid Biosynthesis	Fungi // Rhodophyta // Chlorophyta // Cyanobacteria // Viridiplantae	Prochlorococcus marinus // Capsicum annuum // Solanum lycopersicum // Solanum tuberosum // Phaffia rhodozyma // Arabidopsis thaliana // Lactuca sativa romaine	delta-carotene  ->  alpha-carotene // all-trans-lycopene  ->  delta-carotene	PWY-5946	alpha-carotene biosynthesis
superpathway of formononetin derivative biosynthesis	Superpathways	Superpathways	Fabaceae	Cicer arietinum // Medicago sativa // Medicago truncatula // Trifolium pratense	formononetin conjugates interconversion // (-)-maackiain biosynthesis // (-)-medicarpin biosynthesis	PWY-5717	superpathway of formononetin derivative biosynthesis
NAD salvage pathway II (PNC IV cycle)	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Bacteria <bacteria>	Escherichia coli // Salmonella enterica	ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // NAD+ + H2O  ->  AMP + beta-nicotinamide D-ribonucleotide + 2 H+ // beta-nicotinamide D-ribonucleotide + H2O  ->  ammonium + beta-nicotinate D-ribonucleotide // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PWY-7761	NAD salvage pathway II (PNC IV cycle)
L-tryptophan degradation II (via pyruvate)	Amino Acid Degradation	L-tryptophan Degradation	Bacteria <bacteria>	Aeromonas hydrophila // Klebsiella aerogenes // Escherichia coli // Fusobacterium varium // Paenibacillus alvei // Pasteurella multocida // Cutibacterium acnes // Proteus vulgaris // Symbiobacterium thermophilum // Vibrio cholerae // Vibrio harveyi // Bacteroides sp. DeMoss 69 // Vibrio sp.	L-tryptophan  <-->  indole + 2-aminoprop-2-enoate // 2-iminopropanoate + H2O  ->  pyruvate + ammonium // 2-aminoprop-2-enoate  ->  2-iminopropanoate	TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)
laminaribiose degradation	Carbohydrate Degradation	Sugar Degradation	cellular organisms	Euglena gracilis	laminaribiose + phosphate  <-->  D-glucopyranose + alpha-D-glucopyranose 1-phosphate	PWY-6778	laminaribiose degradation
2-oxoglutarate decarboxylation to succinyl-CoA	Generation of Precursor Metabolites and Energy	Respiration	Eukaryota // Bacteria <bacteria> // Archaea	Bacillus subtilis // Deinococcus radiodurans // Escherichia coli // Geobacillus stearothermophilus // Homo sapiens // Mus musculus // Pseudomonas aeruginosa // Pseudomonas putida // Rattus norvegicus // Saccharolobus solfataricus // Synechocystis	a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+ // succinyl-CoA + a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  <-  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + coenzyme A // 2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2	PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
<i>trans</i>-lycopene biosynthesis I	Superpathways // Secondary Metabolite Biosynthesis	Lycopene Biosynthesis // Superpathways	Fungi // Archaea // Bacteria <bacteria>	Streptomyces griseus // Gloeobacter violaceus // Myxococcus xanthus // Neurospora crassa // Pantoea ananatis // Pantoea stewartii // Rubrivivax gelatinosus // Phaffia rhodozyma	all-trans neurosporene + an oxidized electron carrier  ->  all-trans-lycopene + a reduced two electron carrier // prephytoene diphosphate  ->  15-cis-phytoene + diphosphate // neurosporene biosynthesis	PWY-5942	trans-lycopene biosynthesis I
NAD salvage pathway IV (from nicotinamide riboside)	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Metazoa // Fungi // Bacteria <bacteria>	Escherichia coli // Haemophilus influenzae // Homo sapiens // Saccharomyces cerevisiae	1-(beta-D ribofuranosyl)nicotinamide + ATP  ->  beta-nicotinamide D-ribonucleotide + ADP + H+ // beta-nicotinamide D-ribonucleotide + ATP + H+  ->  NAD+ + diphosphate	PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)
L-tryptophan degradation IX	Superpathways // Amino Acid Degradation	Superpathways // L-tryptophan Degradation	Bacteria <bacteria>	Bacillus cereus // Burkholderia cenocepacia	"2-hydroxypenta-2,4-dienoate degradation // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde // 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate"	PWY-5655	L-tryptophan degradation IX
D-gulosides conversion to D-glucosides	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Escherichia coli	a D-guloside + NAD+  ->  a 3-dehydro-D-guloside + NADH + H+ // a 3-dehydro-D-guloside  <-->  a 3-dehydro-D-glucoside // a 3-dehydro-D-glucoside + NADH + H+  ->  a D-glucoside + NAD+	PWY0-1602	D-gulosides conversion to D-glucosides
<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Secondary Metabolite Biosynthesis	Lycopene Biosynthesis	Chlorobia // Cyanobacteria // Rhodophyta // Viridiplantae	Capsicum annuum // Chlorobaculum tepidum // Nostoc sp. PCC 7120 = FACHB-418 // Solanum lycopersicum // Solanum tuberosum // Synechococcus elongatus // Synechocystis sp. PCC 6803 // Zea mays // Arabidopsis thaliana // Lactuca sativa romaine	"15-<em>cis</em>-phytoene desaturase // 15-<em>cis</em>-phytoene desaturase // 9,9&prime;-<em>di</em><em>cis</em>-&zeta;-carotene desaturase // prolycopene  ->  all-trans-lycopene // prephytoene diphosphate  ->  15-cis-phytoene + diphosphate // 2 geranylgeranyl diphosphate  ->  prephytoene diphosphate + diphosphate // 9,9'-di-cis-zeta-carotene + an electron-transfer quinone  ->  7,9,9'-cis-neurosporene + an electron-transfer quinol // 9,15,9'-tri-cis-zeta-carotene  <-->  9,9'-di-cis-zeta-carotene"	PWY-6475	trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
superpathway of linamarin and lotaustralin biosynthesis	Superpathways	Superpathways	Linaceae // Euphorbiaceae // Asteraceae // Fabaceae // Papaveraceae	Linum usitatissimum // Lotus japonicus // Manihot esculenta	lotaustralin biosynthesis // linamarin biosynthesis	PWY-5991	superpathway of linamarin and lotaustralin biosynthesis
NAD <i>de novo</i> biosynthesis I	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Eukaryota // Bacteria <bacteria>	Bacillus cereus // Bacillus subtilis // Cupriavidus metallidurans // Escherichia coli // Gossypium hirsutum // Mycobacterium tuberculosis // Nicotiana rustica // Nicotiana tabacum // Pseudomonas aeruginosa // Pseudomonas putida // Ralstonia solanacearum // Ricinus communis // Arabidopsis thaliana	L-aspartate + dioxygen  ->  2-iminosuccinate + hydrogen peroxide + H+ // 2-iminosuccinate + glycerone phosphate  ->  quinolinate + phosphate + 2 H2O // beta-nicotinate D-ribonucleotide + CO2 + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+ // ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PYRIDNUCSYN-PWY	NAD de novo biosynthesis I
L-tryptophan degradation XII (Geobacillus)	Superpathways // Amino Acid Degradation	Superpathways // L-tryptophan Degradation	Bacteria <bacteria>	Geobacillus thermodenitrificans	"3-hydroxyanthranilate + dioxygen  ->  2-amino-3-carboxymuconate-6-semialdehyde // 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate // anthranilate degradation IV (aerobic) // L-tryptophan degradation I (via anthranilate) // 2-hydroxypenta-2,4-dienoate degradation"	PWY-6505	L-tryptophan degradation XII (Geobacillus)
<i>N</i>-acetyl-D-galactosamine degradation	Carbohydrate Degradation	Sugar Degradation	Proteobacteria	Shewanella amazonensis // Shewanella sp. ANA-3 // Shewanella sp. MR-4 // Shewanella sp. MR-7	"D-tagatofuranose 1,6-bisphosphate  ->  glycerone phosphate + D-glyceraldehyde 3-phosphate // D-tagatofuranose 6-phosphate + ATP  ->  D-tagatofuranose 1,6-bisphosphate + ADP + H+ // D-galactosamine 6-phosphate + H2O  ->  D-tagatofuranose 6-phosphate + ammonium // N-acetyl-D-galactosamine 6-phosphate + H2O  ->  D-galactosamine 6-phosphate + acetate // N-acetyl-D-galactosamine + ATP  ->  N-acetyl-D-galactosamine 6-phosphate + ADP + H+"	PWY-7077	N-acetyl-D-galactosamine degradation
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	Nucleoside and Nucleotide Biosynthesis	Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	Eukaryota // Archaea // Bacteria <bacteria>	Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Salmonella enterica // Arabidopsis thaliana	ATP + dGDP  ->  ADP + dGTP // dGDP + an oxidized thioredoxin + H2O  <-  GDP + a reduced thioredoxin	PWY-7226	guanosine deoxyribonucleotides de novo biosynthesis I
NAD <i>de novo</i> biosynthesis II (from tryptophan)	"Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis // Superpathways	Eukaryota // Bacteria <bacteria>	Actinobacteria // Cytophaga hutchinsonii // Gemmata sp. Wa1-1 // Homo sapiens // Oryza sativa // Polaribacter filamentus // Saccharomyces cerevisiae // Streptomyces antibioticus // Xanthomonas arboricola // Xanthomonas axonopodis	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	NADSYN-PWY	NAD de novo biosynthesis II (from tryptophan)
L-tryptophan degradation IV (via indole-3-lactate)	Amino Acid Degradation	L-tryptophan Degradation	Firmicutes	Clostridium botulinum // Clostridium sporogenes // Lactobacillaceae // Lacticaseibacillus casei // Lactobacillus helveticus // Leuconostoc mesenteroides	(R)-3-(indol-3-yl)lactate + NAD+  <-  (indol-3-yl)pyruvate + NADH + H+ // L-tryptophan + 2-oxoglutarate  <-->  (indol-3-yl)pyruvate + L-glutamate	TRPKYNCAT-PWY	L-tryptophan degradation IV (via indole-3-lactate)
extended VTC2 cycle	Carbohydrate Degradation	Sugar Degradation	Viridiplantae	Arabidopsis thaliana	GDP-alpha-D-mannose  ->  GDP-beta-L-galactose // GDP-beta-L-galactose + alpha-D-glucopyranose 1-phosphate  ->  GDP-alpha-D-glucose + beta-L-galactose 1-phosphate // GDP-alpha-D-glucose  ->  GDP-alpha-D-mannose	PWY4FS-13	extended VTC2 cycle
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	Nucleoside and Nucleotide Biosynthesis	Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis	Bacteria <bacteria>	Escherichia coli // Salmonella enterica	ATP + dGDP  ->  ADP + dGTP // dGDP + an oxidized NrdH glutaredoxin-like protein + H2O  <-  GDP + a reduced NrdH glutaredoxin-like protein // formate + GTP + H+  ->  dGTP + CO2 + H2O // dGDP + an oxidized thioredoxin + H2O  <-  GDP + a reduced thioredoxin	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II
superpathway of jasmonoyl-amino acid conjugates biosynthesis	Superpathways	Superpathways	Viridiplantae	Nicotiana attenuata // Arabidopsis thaliana	jasmonoyl-amino acid conjugates biosynthesis II // jasmonoyl-amino acid conjugates biosynthesis I	PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Eukaryota // Bacteria <bacteria>	Actinobacteria // Cytophaga hutchinsonii // Gemmata sp. Wa1-1 // Homo sapiens // Oryza sativa // Polaribacter filamentus // Saccharomyces cerevisiae // Streptomyces antibioticus // Xanthomonas arboricola // Xanthomonas axonopodis	2-amino-3-carboxymuconate-6-semialdehyde  ->  quinolinate + H2O + H+ // beta-nicotinate D-ribonucleotide + CO2 + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
L-tryptophan degradation V (side chain pathway)	Amino Acid Degradation	L-tryptophan Degradation	Proteobacteria	Pseudomonas fluorescens // Xanthobacter agilis	(indol-3-yl)ethanol + NAD(P)+  <-  (indol-3-yl)acetaldehyde + NAD(P)H + H+ // (indol-3-yl)acetaldehyde + dioxygen + H2O  ->  (2R)-2-hydroxy-2-(indol-3-yl)acetaldehyde + hydrogen peroxide // (2R)-2-hydroxy-2-(indol-3-yl)acetaldehyde + an oxidized electron carrier + H2O  ->  (2R)-2-hydroxy-2-(indol-3-yl)acetate + a reduced two electron carrier + H+ // (indol-3-yl)acetaldehyde + NAD(P)+ + H2O  ->  (indol-3-yl)acetate + NAD(P)H + 2 H+ // (indol-3-yl)glycol + dioxygen  ->  2-hydroxy-1-(indol-3-yl)ethanone + hydrogen peroxide // indole-3-ketol dehydrogenase // (indol-3-yl)glyoxal + an oxidized electron carrier + H2O  ->  2-(indol-3-yl)-2-oxoacetate + a reduced two electron carrier + H+ // (2R)-2-hydroxy-2-(indol-3-yl)acetate + dioxygen  ->  2-(indol-3-yl)-2-oxoacetate + hydrogen peroxide // indole-3-glycol dehydrogenase // (indol-3-yl)ethanol + dioxygen + H2O  ->  (indol-3-yl)glycol + hydrogen peroxide // (indol-3-yl)acetate + dioxygen + H2O  ->  (2R)-2-hydroxy-2-(indol-3-yl)acetate + hydrogen peroxide // (2R)-2-hydroxy-2-(indol-3-yl)acetaldehyde + dioxygen  ->  (indol-3-yl)glyoxal + hydrogen peroxide // L-tryptophan + dioxygen + H2O + H+  ->  (indol-3-yl)acetaldehyde + ammonium + CO2 + hydrogen peroxide	PWY-3162	L-tryptophan degradation V (side chain pathway)
D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	Carbohydrate Degradation	Sugar Degradation	Proteobacteria	Escherichia coli O157:H7 // Escherichia coli // Escherichia coli	"D-tagatofuranose 1,6-bisphosphate  ->  glycerone phosphate + D-glyceraldehyde 3-phosphate // D-tagatofuranose 6-phosphate + ATP  ->  D-tagatofuranose 1,6-bisphosphate + ADP + H+ // D-galactosamine 6-phosphate + H2O  ->  D-tagatofuranose 6-phosphate + ammonium // N-acetyl-D-galactosamine 6-phosphate + H2O  ->  D-galactosamine 6-phosphate + acetate"	PWY-7395	D-galactosamine and N-acetyl-D-galactosamine degradation
cardiolipin biosynthesis II	Fatty Acid and Lipid Biosynthesis	Cardiolipin Biosynthesis	Eukaryota	Homo sapiens // Vigna radiata // Arabidopsis thaliana	a CDP-diacylglycerol + a phosphatidylglycerol  ->  a cardiolipin + CMP + H+ // a phosphatidylglycerophosphate + H2O  ->  a phosphatidylglycerol + phosphate // a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+	PWY-5269	cardiolipin biosynthesis II
NAD <i>de novo</i> biosynthesis III	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Archaea // Bacteria <bacteria>	Archaeoglobus fulgidus // Methanocaldococcus jannaschii // Methanococcoides burtonii // Methanococcus maripaludis // Methanopyrus kandleri // Methanosarcina barkeri // Methanosarcina mazei // Methanothermobacter thermautotrophicus // Thermotoga maritima	L-aspartate + NAD(P)+  ->  2-iminosuccinate + NAD(P)H + 2 H+ // 2-iminosuccinate + glycerone phosphate  ->  quinolinate + phosphate + 2 H2O // beta-nicotinate D-ribonucleotide + CO2 + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+ // ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PWY-8352	NAD de novo biosynthesis III
