"","X1","X2"
"86","DARABCATK12-PWY","D-arabinose degradation I"
"87","DARABCAT-PWY","D-arabinose degradation II"
"88","DARABITOLUTIL-PWY","D-arabitol degradation"
"89","DENITRIFICATION-PWY","nitrate reduction I (denitrification)"
"90","DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II"
"91","DESULFONATION-PWY","benzenesulfonate degradation"
"92","DETOX1-PWY-1","reactive oxygen species degradation"
"93","DETOX1-PWY","superoxide radicals degradation"
"94","DHGLUCONATE-PYR-CAT-PWY","glucose degradation (oxidative)"
"95","DISSULFRED-PWY","sulfate reduction IV (dissimilatory)"
"96","DTDPRHAMSYN-PWY","dTDP-L-rhamnose biosynthesis I"
"97","ECASYN-PWY","enterobacterial common antigen biosynthesis"
"98","ENTBACSYN-PWY","enterobactin biosynthesis"
"99","ENTNER-DOUDOROFF-PWY","Entner-Doudoroff pathway I"
"100","ERGOSTEROL-SYN-PWY","superpathway of ergosterol biosynthesis I"
"101","ETHYL-PWY","ethylene biosynthesis I (plants)"
"102","ETOH-ACETYLCOA-ANA-PWY","ethanol degradation I"
"103","FAO-PWY","fatty acid &beta;-oxidation I"
"104","FASYN-ELONG-PWY","fatty acid elongation -- saturated"
"105","FASYN-INITIAL-PWY","superpathway of fatty acid biosynthesis initiation (E. coli)"
"106","FERMENTATION-PWY","mixed acid fermentation"
"107","FESULFOX-PWY","sulfur oxidation II (Fe+3-dependent)"
"108","FLUORENE-DEG-9-ONE-PWY","fluorene degradation I"
"109","FOLSYN-PWY","superpathway of tetrahydrofolate biosynthesis and salvage"
"110","FORMASS-PWY","formaldehyde oxidation IV (thiol-independent)"
"111","FUCCAT-PWY","fucose degradation"
"112","FUC-RHAMCAT-PWY","superpathway of fucose and rhamnose degradation"
"113","GALACTARDEG-PWY","D-galactarate degradation I"
"114","GALACTCAT-PWY","D-galactonate degradation"
"115","GALACT-GLUCUROCAT-PWY","superpathway of hexuronide and hexuronate degradation"
"116","GALACTITOLCAT-PWY","galactitol degradation"
"117","GALACTUROCAT-PWY","D-galacturonate degradation I"
"118","GALDEG-PWY","galactose degradation II"
"119","GALLATE-DEGRADATION-II-PWY","gallate degradation I"
"120","GALLATE-DEGRADATION-I-PWY","gallate degradation II"
"121","GAMMAHEXCHLORDEG-PWY","&gamma;-hexachlorocyclohexane degradation"
"122","GDPRHAMSYN-PWY","GDP-D-rhamnose biosynthesis"
"123","GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"124","GLNSYN-PWY","L-glutamine biosynthesis I"
"125","GLUAMCAT-PWY","N-acetylglucosamine degradation I"
"126","GLUCARDEG-PWY","D-glucarate degradation I"
"127","GLUCARGALACTSUPER-PWY","superpathway of D-glucarate and D-galactarate degradation"
"128","GLUCONEO-PWY","gluconeogenesis I"
"129","GLUCONSUPER-PWY","D-gluconate degradation"
"130","GLUCOSE1PMETAB-PWY","glucose and glucose-1-phosphate degradation"
"131","GLUCUROCAT-PWY","superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
"132","GLUDEG-II-PWY","L-glutamate degradation VII (to butanoate)"
"133","GLUDEG-I-PWY","GABA shunt"
"134","GLUGLNSYN-PWY","L-glutamate biosynthesis IV"
"135","GLUTAMATE-DEG1-PWY","L-glutamate degradation I"
"136","GLUTAMATE-SYN2-PWY","L-glutamate biosynthesis II"
"137","GLUTAMINDEG-PWY","L-glutamine degradation I"
"138","GLUTAMINEFUM-PWY","L-glutamine degradation II"
"139","GLUTATHIONESYN-PWY","glutathione biosynthesis"
"140","GLUTDEG-PWY","L-glutamate degradation II"
"141","GLUTORN-PWY","L-ornithine biosynthesis"
"142","GLUT-REDOX-PWY","glutathione redox reactions II"
"143","GLUTSYNIII-PWY","L-glutamate biosynthesis III"
"144","GLUTSYN-PWY","L-glutamate biosynthesis I"
"145","GLYCEROLMETAB-PWY","glycerol degradation V"
"146","GLYCGREAT-PWY","creatine biosynthesis"
"147","GLYCINE-SYN2-PWY","glycine biosynthesis II"
"148","GLYCLEAV-PWY","glycine cleavage"
"149","GLYCOCAT-PWY","glycogen degradation I (bacterial)"
"150","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)"
"151","GLYCOLATEMET-PWY","glycolate and glyoxylate degradation I"
"152","GLYCOL-GLYOXDEG-PWY","superpathway of glycol metabolism and degradation"
"153","GLYCOLYSIS-E-D","superpathway of glycolysis and Entner-Doudoroff"
"154","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)"
"155","GLYCOLYSIS-TCA-GLYOX-BYPASS","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"156","GLYOXDEG-PWY","glycolate and glyoxylate degradation II"
"157","GLYOXYLATE-BYPASS","glyoxylate cycle"
"158","GLYSYN-ALA-PWY","glycine biosynthesis III"
"159","GLYSYN-PWY","glycine biosynthesis I"
"160","GLYSYN-THR-PWY","glycine biosynthesis IV"
"161","GOLPDLCAT-PWY","superpathway of glycerol degradation to 1,3-propanediol"
"162","HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate"
"163","HEME-BIOSYNTHESIS-II","heme biosynthesis I (aerobic)"
"164","HEMESYN2-PWY","heme biosynthesis II (anaerobic)"
"165","HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)"
"166","HEXPPSYN-PWY","hexaprenyl diphosphate biosynthesis"
"167","HISDEG-PWY","L-histidine degradation I"
"168","HISHP-PWY","L-histidine degradation VI"
"169","HISTDEG-PWY","L-histidine degradation IV"
"170","HISTSYN-PWY","L-histidine biosynthesis"
"171","HOMOCYSDEGR-PWY","L-cysteine biosynthesis III (from L-homocysteine)"
"172","HOMOSER-METSYN-PWY","L-methionine biosynthesis I"
"173","HOMOSERSYN-PWY","L-homoserine biosynthesis"
"174","HOMOSER-THRESYN-PWY","L-threonine biosynthesis"
"175","HSERMETANA-PWY","L-methionine biosynthesis III"
"176","HYDROXYPRODEG-PWY","trans-4-hydroxy-L-proline degradation I"
"177","IDNCAT-PWY","L-idonate degradation"
"178","ILEUDEG-PWY","L-isoleucine degradation I"
"179","ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)"
"180","KDO-LIPASYN-PWY","(Kdo)2-lipid A biosynthesis I"
"181","KDO-NAGLIPASYN-PWY","superpathway of (Kdo)2-lipid A biosynthesis"
"182","KDOSYN-PWY","Kdo transfer to lipid IVA I"
"183","KETOGLUCONMET-PWY","ketogluconate metabolism"
"184","LACTOSECAT-PWY","lactose and galactose degradation I"
"185","LACTOSEUTIL-PWY","lactose degradation II"
"186","LARABITOLUTIL-PWY","xylitol degradation"
"187","LCYSDEG-PWY","L-cysteine degradation II"
"188","LEU-DEG2-PWY","L-leucine degradation I"
"189","LEUSYN-PWY","L-leucine biosynthesis"
"190","LIPA-CORESYN-PWY","Lipid A-core biosynthesis"
"191","LIPAS-PWY","triacylglycerol degradation"
"192","LIPASYN-PWY","phospholipases"
"193","LPSSYN-PWY","superpathway of lipopolysaccharide biosynthesis"
"194","LYSDEGII-PWY","L-lysine degradation III"
"195","LYSINE-AMINOAD-PWY","L-lysine biosynthesis IV"
"196","LYSINE-DEG1-PWY","L-lysine degradation XI (mammalian)"
"197","LYXMET-PWY","L-lyxose degradation"
"198","MALATE-ASPARTATE-SHUTTLE-PWY","L-aspartate degradation II"
"199","MALTOSECAT-PWY","maltose degradation"
"200","MANNCAT-PWY","D-mannose degradation"
"201","MANNIDEG-PWY","mannitol degradation I"
"202","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","protein N-glycosylation (eukaryotic, high mannose)"
"203","M-CRESOL-DEGRADATION-PWY","m-cresol degradation"
"204","MENAQUINONESYN-PWY","menaquinol-8 biosynthesis"
"205","METH-ACETATE-PWY","methanogenesis from acetate"
"206","METHANOGENESIS-PWY","methanogenesis from H2 and CO2"
"207","METHFORM-PWY","methyl-coenzyme M reduction to methane"
"208","METHGLYUT-PWY","superpathway of methylglyoxal degradation"
"209","METHIONINE-DEG1-PWY","L-methionine degradation I (to L-homocysteine)"
"210","METHYLGALLATE-DEGRADATION-PWY","methylgallate degradation"
"211","MET-SAM-PWY","superpathway of S-adenosyl-L-methionine biosynthesis"
"212","MGLDLCTANA-PWY","methylglyoxal degradation VI"
"213","N2FIX-PWY","nitrogen fixation I (ferredoxin)"
"214","NAD-BIOSYNTHESIS-III","NAD biosynthesis III"
"215","NAD-BIOSYNTHESIS-II","NAD salvage pathway II"
"216","NADPHOS-DEPHOS-PWY-1","NAD phosphorylation and dephosphorylation II (mammalian)"
"217","NADPHOS-DEPHOS-PWY","NAD phosphorylation and dephosphorylation I"
"218","NADSYN-PWY","NAD biosynthesis II (from tryptophan)"
"219","NAGLIPASYN-PWY","lipid IVA biosynthesis"
"220","NONMEVIPP-PWY","methylerythritol phosphate pathway I"
"221","NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch)"
"222","NOPALINEDEG-PWY","nopaline degradation"
"223","NPGLUCAT-PWY","Entner-Doudoroff pathway II (non-phosphorylative)"
"224","OANTIGEN-PWY","O-antigen building blocks biosynthesis (E. coli)"
"225","OCTOPINEDEG-PWY","octopine degradation"
"226","ORN-AMINOPENTANOATE-CAT-PWY","L-ornithine degradation I (L-proline biosynthesis)"
"227","ORNARGDEG-PWY","superpathway of L-arginine and L-ornithine degradation"
"228","ORNDEG-PWY","superpathway of ornithine degradation"
"229","OXIDATIVEPENT-PWY","pentose phosphate pathway (oxidative branch)"
"230","P101-PWY","ectoine biosynthesis"
"231","P105-PWY","TCA cycle IV (2-oxoglutarate decarboxylase)"
"232","P108-PWY","pyruvate fermentation to propanoate I"
"233","P121-PWY","adenine and adenosine salvage I"
"234","P122-PWY","heterolactic fermentation"
"235","P124-PWY","Bifidobacterium shunt"
"236","P125-PWY","superpathway of (R,R)-butanediol biosynthesis"
"237","P141-PWY","atrazine degradation I (aerobic)"
"238","P142-PWY","pyruvate fermentation to acetate I"
"239","P161-PWY","acetylene degradation"
"240","P162-PWY","L-glutamate degradation V (via hydroxyglutarate)"
"241","P163-PWY","L-lysine fermentation to acetate and butanoate"
"242","P164-PWY","purine nucleobases degradation I (anaerobic)"
"243","P165-PWY","superpathway of purines degradation in plants"
"244","P181-PWY","nicotine degradation I (pyridine pathway)"
"245","P183-PWY","catechol degradation to 2-oxopent-4-enoate I"
"246","P184-PWY","protocatechuate degradation I (meta-cleavage pathway)"
"247","P185-PWY","formaldehyde assimilation III (dihydroxyacetone cycle)"
"248","P201-PWY","nitroglycerin degradation"
"249","P203-PWY","sulfur disproportionation I (anaerobic)"
"250","P21-PWY","pentose phosphate pathway (partial)"
"251","P221-PWY","octane oxidation"
"252","P222-PWY","sulfide oxidation I (sulfide-quinone reductase)"
"253","P224-PWY","sulfate reduction V (dissimilatory)"
"254","P23-PWY","reductive TCA cycle I"
"255","P241-PWY","coenzyme B biosynthesis"
"256","P261-PWY","coenzyme M biosynthesis I"
"257","P281-PWY","3-phenylpropanoate degradation"
"258","P282-PWY","nitrite oxidation"
"259","P283-PWY","hydrogen oxidation I (aerobic)"
"260","P2-PWY","citrate lyase activation"
"261","P301-PWY","galena oxidation"
"262","P302-PWY","L-sorbose degradation"
"263","P303-PWY","ammonia oxidation II (anaerobic)"
"264","P321-PWY","benzoyl-CoA degradation III (anaerobic)"
"265","P341-PWY","glycolysis V (Pyrococcus)"
"266","P342-PWY","orcinol degradation"
"267","P343-PWY","resorcinol degradation"
"268","P344-PWY","superpathway of acrylonitrile degradation"
"269","P345-PWY","aldoxime degradation"
"270","P381-PWY","adenosylcobalamin biosynthesis II (late cobalt incorporation)"
"271","P3-PWY","gallate degradation III (anaerobic)"
"272","P401-PWY","cyanide degradation"
"273","P41-PWY","pyruvate fermentation to acetate and lactate I"
"274","P421-PWY","4-nitrotoluene degradation I"
"275","P42-PWY","incomplete reductive TCA cycle"
"276","P441-PWY","superpathway of N-acetylneuraminate degradation"
"277","P461-PWY","hexitol fermentation to lactate, formate, ethanol and acetate"
"278","P481-PWY","adamantanone degradation"
"279","P482-PWY","arsonoacetate degradation"
"280","P483-PWY","phosphonoacetate degradation"
"281","P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"282","P541-PWY","glycine betaine biosynthesis IV (from glycine)"
"283","P542-PWY","choline-O-sulfate degradation"
"284","P561-PWY","L-proline betaine degradation"
"285","P562-PWY","myo-inositol degradation I"
"286","P581-PWY","thiocyanate degradation I"
"287","P601-PWY","(+)-camphor degradation"
"288","P621-PWY","nylon-6 oligomer degradation"
"289","P641-PWY","phenylmercury acetate degradation"
"290","P661-PWY","dibenzo-p-dioxin degradation"
"291","P662-PWY","dibenzofuran degradation"
"292","PANTO-PWY","phosphopantothenate biosynthesis I"
"293","PANTOSYN-PWY","pantothenate and coenzyme A biosynthesis I"
"294","PARATHION-DEGRADATION-PWY","parathion degradation"
"295","PCEDEG-PWY","tetrachloroethene degradation"
"296","PCPDEG-PWY","pentachlorophenol degradation"
"297","PENTOSE-P-PWY","pentose phosphate pathway"
"298","PEPTIDOGLYCANSYN-PWY","peptidoglycan biosynthesis I (meso-diaminopimelate containing)"
"299","PHENOLDEG-PWY","phenol degradation II (anaerobic)"
"300","PHENYLALANINE-DEG1-PWY","L-phenylalanine degradation I (aerobic)"
"301","PHESYN","L-phenylalanine biosynthesis I"
"302","PHOSLIPSYN2-PWY","superpathway of phospholipid biosynthesis II (plants)"
"303","PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)"
"304","PHOSPHONOTASE-PWY","2-aminoethylphosphonate degradation I"
"305","PHOTOALL-PWY","oxygenic photosynthesis"
"306","PLPSAL-PWY","pyridoxal 5'-phosphate salvage I"
"307","POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II"
"308","POLYAMSYN-PWY","superpathway of polyamine biosynthesis I"
"309","POLYISOPRENSYN-PWY","polyisoprenoid biosynthesis (E. coli)"
"310","PPGPPMET-PWY","ppGpp biosynthesis"
"311","PROPFERM-PWY","L-alanine fermentation to propanoate and acetate"
"312","PROPIONMET-PWY","propanoyl CoA degradation I"
"313","PROSYN-PWY","L-proline biosynthesis I"
"314","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","protocatechuate degradation II (ortho-cleavage pathway)"
"315","PROUT-PWY","L-proline degradation"
"316","PRPP-PWY","superpathway of histidine, purine, and pyrimidine biosynthesis"
"317","PUTDEG-PWY","putrescine degradation I"
"318","PWY0-1021","L-alanine biosynthesis III"
"319","PWY0-1061","superpathway of L-alanine biosynthesis"
"320","PWY0-1182","trehalose degradation II (trehalase)"
"321","PWY0-1221","putrescine degradation II"
"322","PWY0-1241","ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"323","PWY0-1261","anhydromuropeptides recycling"
"324","PWY0-1264","biotin-carboxyl carrier protein assembly"
"325","PWY0-1275","lipoate biosynthesis and incorporation II"
"326","PWY0-1277","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation"
"327","PWY0-1280","ethylene glycol degradation"
"328","PWY0-1295","pyrimidine ribonucleosides degradation"
"329","PWY0-1296","purine ribonucleosides degradation"
"330","PWY0-1297","superpathway of purine deoxyribonucleosides degradation"
"331","PWY0-1298","superpathway of pyrimidine deoxyribonucleosides degradation"
"332","PWY0-1299","arginine dependent acid resistance"
"333","PWY0-1300","2-O-&alpha;-mannosyl-D-glycerate degradation"
"334","PWY0-1301","melibiose degradation"
"335","PWY0-1303","aminopropylcadaverine biosynthesis"
"336","PWY0-1305","glutamate dependent acid resistance"
"337","PWY0-1306","L-galactonate degradation"
"338","PWY0-1309","chitobiose degradation"
"339","PWY0-1312","acetate formation from acetyl-CoA I"
"340","PWY0-1313","acetate conversion to acetyl-CoA"
"341","PWY0-1314","fructose degradation"
"342","PWY0-1315","L-lactaldehyde degradation (anaerobic)"
"343","PWY0-1317","L-lactaldehyde degradation (aerobic)"
"344","PWY0-1319","CDP-diacylglycerol biosynthesis II"
"345","PWY0-1321","nitrate reduction III (dissimilatory)"
"346","PWY0-1324","N-acetylneuraminate and N-acetylmannosamine degradation I"
"347","PWY0-1325","superpathway of L-asparagine biosynthesis"
"348","PWY0-1329","succinate to cytochrome bo oxidase electron transfer"
"349","PWY0-1334","NADH to cytochrome bd oxidase electron transfer I"
"350","PWY0-1335","NADH to cytochrome bo oxidase electron transfer I"
"351","PWY0-1336","NADH to fumarate electron transfer"
"352","PWY0-1337","oleate &beta;-oxidation"
"353","PWY0-1338","polymyxin resistance"
"354","PWY0-1347","NADH to trimethylamine N-oxide electron transfer"
"355","PWY0-1348","NADH to dimethyl sulfoxide electron transfer"
"356","PWY0-1352","nitrate reduction VIII (dissimilatory)"
"357","PWY0-1353","succinate to cytochrome bd oxidase electron transfer"
"358","PWY0-1355","formate to trimethylamine N-oxide electron transfer"
"359","PWY0-1356","formate to dimethyl sulfoxide electron transfer"
"360","PWY0-1391","S-methyl-5'-thioadenosine degradation IV"
"361","PWY0-1415","superpathway of heme biosynthesis from uroporphyrinogen-III"
"362","PWY0-1433","tetrahydromonapterin biosynthesis"
"363","PWY0-1465","D-malate degradation"
"364","PWY0-1466","trehalose degradation VI (periplasmic)"
"365","PWY0-1471","uracil degradation III"
"366","PWY0-1477","ethanolamine utilization"
"367","PWY0-1479","tRNA processing"
"368","PWY0-1507","biotin biosynthesis from 8-amino-7-oxononanoate I"
"369","PWY0-1517","sedoheptulose bisphosphate bypass"
"370","PWY0-1527","curcumin degradation"
"371","PWY0-1533","methylphosphonate degradation I"
"372","PWY0-1534","hydrogen sulfide biosynthesis I"
"373","PWY0-1535","D-serine degradation"
"374","PWY0-1544","proline to cytochrome bo oxidase electron transfer"
"375","PWY0-1546","muropeptide degradation"
"376","PWY0-1554","5-(carboxymethoxy)uridine biosynthesis"
"377","PWY0-1561","glycerol-3-phosphate to cytochrome bo oxidase electron transfer"
"378","PWY0-1565","D-lactate to cytochrome bo oxidase electron transport"
"379","PWY0-1567","NADH to cytochrome bo oxidase electron transfer II"
"380","PWY0-1568","NADH to cytochrome bd oxidase electron transport II"
"381","PWY0-1569","autoinducer AI-2 degradation"
"382","PWY0-1576","hydrogen to fumarate electron transfer"
"383","PWY0-1577","hydrogen to dimethyl sulfoxide electron transfer"
"384","PWY0-1578","hydrogen to trimethylamine N-oxide electron transfer"
"385","PWY0-1581","nitrate reduction IX (dissimilatory)"
"386","PWY0-1582","glycerol-3-phosphate to fumarate electron transfer"
"387","PWY0-1584","nitrate reduction X (periplasmic, dissimilatory)"
"388","PWY0-1586","peptidoglycan maturation (meso-diaminopimelate containing)"
"389","PWY0-162","superpathway of pyrimidine ribonucleotides de novo biosynthesis"
"390","PWY0-166","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)"
"391","PWY0-301","L-ascorbate degradation I (bacterial, anaerobic)"
"392","PWY0-321","phenylacetate degradation I (aerobic)"
"393","PWY0-381","glycerol and glycerophosphodiester degradation"
"394","PWY0-41","allantoin degradation IV (anaerobic)"
"395","PWY0-42","2-methylcitrate cycle I"
"396","PWY0-43","conversion of succinate to propanoate"
"397","PWY0-44","D-allose degradation"
"398","PWY0-461","L-lysine degradation I"
"399","PWY0-501","lipoate biosynthesis and incorporation I"
"400","PWY0-521","fructoselysine and psicoselysine degradation"
"401","PWY0-522","lipoate salvage I"
"402","PWY0-541","cyclopropane fatty acid (CFA) biosynthesis"
"403","PWY0-662","PRPP biosynthesis I"
"404","PWY0-781","aspartate superpathway"
"405","PWY0-823","L-arginine degradation III (arginine decarboxylase/agmatinase pathway)"
"406","PWY0-845","superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"407","PWY0-862","(5Z)-dodec-5-enoate biosynthesis"
"408","PWY0-901","L-selenocysteine biosynthesis I (bacteria)"
"409","PWY0-981","taurine degradation IV"
"410","PWY-0","putrescine degradation III"
"411","PWY-1001","cellulose biosynthesis"
"412","PWY-101","photosynthesis light reactions"
"413","PWY-102","gibberellin inactivation I (2&beta;-hydroxylation)"
"414","PWY-1042","glycolysis IV (plant cytosol)"
"415","PWY-1061","homogalacturonan biosynthesis"
"416","PWY-1081","homogalacturonan degradation"
"417","PWY-1121","suberin monomers biosynthesis"
"418","PWY-112","lupeol biosynthesis"
"419","PWY-1164","carbon disulfide oxidation I (anaerobic)"
"420","PWY-116","coniferin metabolism"
"421","PWY-1186","L-homomethionine biosynthesis"
"422","PWY-1187","glucosinolate biosynthesis from homomethionine"
"423","PWY-1263","taurine degradation I"
"424","PWY-1264","taurine degradation II"
"425","PWY-1269","CMP-3-deoxy-D-manno-octulosonate biosynthesis I"
"426","PWY-1281","sulfoacetaldehyde degradation I"
"427","PWY1-2","L-alanine degradation IV"
"428","PWY-12","pentaketide chromone biosynthesis"
"429","PWY-1341","phenylacetate degradation II (anaerobic)"
"430","PWY-1361","benzoyl-CoA degradation I (aerobic)"
"431","PWY-1381","fluorene degradation II"
"432","PWY1-3","polyhydroxybutanoate biosynthesis"
"433","PWY-13","superpathway of tetrahydroxyxanthone biosynthesis"
"434","PWY-1422","vitamin E biosynthesis (tocopherols)"
"435","PWY-142","m-xylene degradation (anaerobic)"
"436","PWY-1501","mandelate degradation I"
"437","PWY-1541","superpathway of taurine degradation"
"438","PWY-1581","plastoquinol-9 biosynthesis I"
"439","PWY-1622","formaldehyde assimilation I (serine pathway)"
"440","PWY-1641","methane oxidation to methanol I"
"441","PWY-1701","methanol and methylamine oxidation to formaldehyde"
"442","PWY-1722","formate reduction to 5,10-methylenetetrahydrofolate"
"443","PWY-1723","formaldehyde oxidation V (H4MPT pathway)"
"444","PWY-1741","indole-3-acetyl-ester conjugate biosynthesis"
"445","PWY-1781","&beta;-alanine degradation II"
"446","PWY-1782","superpathway of indole-3-acetate conjugate biosynthesis"
