Id	CLASS0	CLASS1	CLASS2	CLASS3	COMMON-NAME	ALTERNATIVE	NAMES	SUPER-PATHWAYS
PWY-6214	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorocatechol-Degradation	3-chlorocatechol degradation III (meta pathway)		3-chlorocatechol degradation III (meta pathway)	
PWY-6103	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorotoluene-Degradation	3-chlorotoluene degradation I		3-chlorotoluene degradation I	
PWY-6104	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorotoluene-Degradation	3-chlorotoluene degradation II		3-chlorotoluene degradation II	
PWY-6164	Biosynthesis	Aromatic-Compounds-Biosynthesis	3-Dehydroquinate-Biosynthesis	3-Dehydroquinate-Biosynthesis	3-dehydroquinate biosynthesis I		3-dehydroquinate biosynthesis I	ARO-PWY
PWY-6160	Biosynthesis	Aromatic-Compounds-Biosynthesis	3-Dehydroquinate-Biosynthesis	3-Dehydroquinate-Biosynthesis	3-dehydroquinate biosynthesis II (archaea)		3-dehydroquinate biosynthesis II (archaea)	PWY-6165
PWY-7765	Biosynthesis	Secondary Metabolite Biosynthesis	Secondary Metabolite Biosynthesis	3-OH-4-Methyl-Anthranilate-Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis II		3-hydroxy-4-methyl-anthranilate biosynthesis II$3-hydroxy-4-methyl-anthranilic acid biosynthesis II	
PWY-7717	Biosynthesis	Secondary Metabolite Biosynthesis	Secondary Metabolite Biosynthesis	3-OH-4-Methyl-Anthranilate-Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis I		3-hydroxy-4-methyl-anthranilate biosynthesis I$3-hydroxy-4-methyl-anthranilic acid biosynthesis I	
PWY-6473	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation	4-aminobutanoate degradation IV		4-aminobutanoate degradation IV$GABA metabolism during fruit ripening$4-aminobutyrate degradation IV$4-aminobutanoic acid degradation IV	
PWY-6535	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation	4-aminobutanoate degradation I		4-aminobutanoate degradation I$&gamma;-amino-butyrate shunt$GABA degradation$4-aminobutyrate degradation I$4-aminobutanoic acid degradation I	4AMINOBUTMETAB-PWY$GLUDEG-I-PWY
PWY-6536	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation	4-aminobutanoate degradation III		4-aminobutanoate degradation III$&gamma;-amino-butyrate shunt$GABA degradation$4-aminobutyrate degradation III$4-aminobutanoic acid degradation III	
PWY-6537	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation	4-aminobutanoate degradation II		4-aminobutanoate degradation II$4-aminobutyrate degradation II$4-aminobutanoic acid degradation II	4AMINOBUTMETAB-PWY
PWY-5022	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation$Acetyl-CoA-Butyrate	4-aminobutanoate degradation V		4-aminobutanoate degradation V$GABA degradation$4-aminobutyrate degradation V$4-aminobutanoic acid degradation V	
GLUDEG-I-PWY	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation$GLUTAMATE-DEG$Super-Pathways	GABA shunt		GABA shunt	
4AMINOBUTMETAB-PWY	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutyraye-Degradation	4-Aminobutyraye-Degradation$Super-Pathways	superpathway of 4-aminobutanoate degradation		superpathway of 4-aminobutanoate degradation$&gamma;-amino-butyrate shunt$GABA degradation	ARGDEG-PWY
PWY-6435	Biosynthesis	Aromatic-Compounds-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis III (plants)		4-hydroxybenzoate biosynthesis III (plants)	
PWY-5754	Biosynthesis	Aromatic-Compounds-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis I (eukaryotes)		4-hydroxybenzoate biosynthesis I (eukaryotes)$p-hydroxybenzoate biosynthesis I (eukaryotes)	
PWY-5755	Biosynthesis	Aromatic-Compounds-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis II (bacteria)		4-hydroxybenzoate biosynthesis II (bacteria)$p-hydroxybenzoate biosynthesis II	UBISYN-PWY
PWY-6431	Biosynthesis	Aromatic-Compounds-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-Hydroxybenzoate-Biosynthesis	4-hydroxybenzoate biosynthesis IV (plants)		4-hydroxybenzoate biosynthesis IV (plants)$p-hydroxybenzoate biosynthesis IV	
P421-PWY	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Nitroaromatic Compound Degradation	4-Nitrotoluene-Degradation	4-nitrotoluene degradation I		4-nitrotoluene degradation I$4-nitrotoluene catabolism I	
PWY-5644	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Nitroaromatic Compound Degradation	4-Nitrotoluene-Degradation	4-nitrotoluene degradation II		4-nitrotoluene degradation II	
PWY-5165	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Sulfoaromatic Compound Degradation	4-Toluenesulfonate-Degradation	4-toluenesulfonate degradation II		4-toluenesulfonate degradation II	
TOLSULFDEG-PWY	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Sulfoaromatic Compound Degradation	4-Toluenesulfonate-Degradation	4-toluenesulfonate degradation I		4-toluenesulfonate degradation I	
PWY-7858	Degradation/Utilization/Assimilation	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Biosynthesis	5Z-Dodec-5-enoate-Biosynthesis	(5Z)-dodecenoate biosynthesis II		(5Z)-dodecenoate biosynthesis II$(5Z)-dodec-5-enoate biosynthesis II$cis-dodecenoate biosynthesis II	
PWY0-862	Degradation/Utilization/Assimilation	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Biosynthesis	5Z-Dodec-5-enoate-Biosynthesis	(5Z)-dodecenoate biosynthesis I		(5Z)-dodecenoate biosynthesis I$(5Z)-dodec-5-enoate biosynthesis I$cis-dodecenoate biosynthesis I	PWY0-881$PWY-6285$PWY-6284
PWY-7852	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)		6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)	
PWY-6147	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I		6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6612
PWY-7853	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)		6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)	
PWY-6797	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)		6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	
PWY-7539	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)		6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	
PWY-6578	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	7-Keto-8-aminopelargonate-Biosynthesis	8-amino-7-oxononanoate biosynthesis III		8-amino-7-oxononanoate biosynthesis III$7-keto-8-aminopelargonate biosynthesis III	PWY-5005
PWY-7147	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	7-Keto-8-aminopelargonate-Biosynthesis	8-amino-7-oxononanoate biosynthesis II		8-amino-7-oxononanoate biosynthesis II$7-keto-8-aminopelargonate biosynthesis II	
PWY-6519	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Vitamin-Biosynthesis	7-Keto-8-aminopelargonate-Biosynthesis	8-amino-7-oxononanoate biosynthesis I		8-amino-7-oxononanoate biosynthesis I$7-keto-8-aminopelargonate biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY
PWY-695	Biosynthesis	Hormone-Biosynthesis	Plant-Hormone-Biosynthesis	Abscisic-Acid-Biosynthesis	abscisic acid biosynthesis		abscisic acid biosynthesis$ABA synthesis	
PWY4FS-17	Biosynthesis	Hormone-Biosynthesis	Plant-Hormone-Biosynthesis	Abscisic-Acid-Biosynthesis	abscisic acid biosynthesis shunt		abscisic acid biosynthesis shunt$abscisate biosynthesis shunt$ABA shunt	
PWY-7640	Degradation/Utilization/Assimilation	Hormone-Degradation	Plant-Hormone-Degradation	Abscisic-Acid-Degradation	abscisic acid degradation to neophaseic acid		abscisic acid degradation to neophaseic acid	
PWY-7642	Degradation/Utilization/Assimilation	Hormone-Degradation	Plant-Hormone-Degradation	Abscisic-Acid-Degradation	abscisic acid degradation to 7'-hydroxyabscisate		abscisic acid degradation to 7'-hydroxyabscisate	
PWY-5271	Degradation/Utilization/Assimilation	Hormone-Degradation	Plant-Hormone-Degradation	Abscisic-Acid-Degradation	abscisic acid degradation to phaseic acid		abscisic acid degradation to phaseic acid$abscisate degradation I$abscisic acid degradation I$ABA hydroxylation pathway$abscisic acid hydroxylation pathway$8'-hydroxylation pathway	
PWY-5272	Degradation/Utilization/Assimilation	Hormone-Degradation	Plant-Hormone-Degradation	Abscisic-Acid-Degradation$Interconversion	abscisic acid degradation by glucosylation		abscisic acid degradation by glucosylation$abscisic acid inactivation$abscisic acid degradation II$ABA conjugation pathway$abscisic acid conjugation pathway	
PWY-6333			Acetaldehyde-Biosynthesis	Acetaldehyde-Biosynthesis	acetaldehyde biosynthesis I		acetaldehyde biosynthesis I$anoxic acetaldehyde biosynthesis$flooding related acetaldehyde biosynthesis	
PWY-6330	Biosynthesis	Carbohydrate-Biosynthesis	Acetaldehyde-Biosynthesis	Acetaldehyde-Biosynthesis$SECONDARY-METABOLITE-BIOSYNTHESIS	acetaldehyde biosynthesis II		acetaldehyde biosynthesis II$PDH-bypass$ligt-dark transition acetaldehyde biosynthesis	
PWY-5535				Acetate-Formation	acetate and ATP formation from acetyl-CoA II		acetate and ATP formation from acetyl-CoA II$acetic acid formation from acetyl-CoA II	PWY-7401$PWY-7402$PWY-5483
PWY-5536				Acetate-Formation	acetate formation from acetyl-CoA (succinate)		acetate formation from acetyl-CoA (succinate)$acetic acid formation from acetyl-CoA III (succinic acid)	PWY-5538$PWY-5537
PWY0-1312				Acetate-Formation	acetate and ATP formation from acetyl-CoA I		acetate and ATP formation from acetyl-CoA I$acetic acid formation from acetyl-CoA I	ARGORNPROST-PWY$P441-PWY$PWY-5676$P142-PWY$PWY-5600$PWY-5485$ACETATEUTIL-PWY
P162-PWY	Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation	Acetate-Formation$Acetyl-CoA-Butyrate$GLUTAMATE-DEG	L-glutamate degradation V (via hydroxyglutarate)		L-glutamate degradation V (via hydroxyglutarate)$L-glutamate fermentation	
P163-PWY	Degradation/Utilization/Assimilation	Amino-Acid-Degradation	Proteinogenic Amino Acid Degradation	Acetate-Formation$Acetyl-CoA-Butyrate$LYSINE-DEG	L-lysine fermentation to acetate and butanoate		L-lysine fermentation to acetate and butanoate$3-keto-5-aminohexanoate pathway$L-lysine fermentation to acetate and butyrate$L-lysine fermentation to acetic acid and butanoic acid	PWY-5327
P461-PWY	Degradation/Utilization/Assimilation	Generation of Precursor Metabolite and Energy	Fermentation	Acetate-Formation$Fermentation-to-Lactate$Pyruvate-Ethanol-Fermentation$SUGAR-ALCOHOLS-DEG$Super-Pathways	"hexitol fermentation to lactate, formate, ethanol and acetate"		"hexitol fermentation to lactate, formate, ethanol and acetate$sorbitol metabolism$sorbitol fermentation$mannitol fermentation$sugar alcohol fermentation$hexitol fermentation to lactic acid, formic acid, ethanol and acetic acid"	
P124-PWY	Degradation/Utilization/Assimilation	Generation of Precursor Metabolite and Energy	Fermentation	Acetate-Formation$Fermentation-to-Lactate$Sugars-And-Polysaccharides-Degradation	Bifidobacterium shunt		Bifidobacterium shunt$Bifidum fermentation$Bifidum pathway$fructose 6-phosphate pathway$Bifidum shunt$glucose fermentation to lactate (Bifidobacteria)$glucose fermentation to lactic acid (Bifidobacteria)	
PROPFERM-PWY	Degradation/Utilization/Assimilation	Generation of Precursor Metabolite and Energy	Fermentation	Acetate-Formation$Fermentation-to-propanoate$Super-Pathways	L-alanine fermentation to propanoate and acetate		"L-alanine fermentation to propanoate and acetate$propionate fermentation, nonrandomizing pathway$acrylate pathway$propionate fermentation$L-alanine fermentation to propionate and acetate$L-alanine fermentation to propanoic and acetatic acids"	
P161-PWY	Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation	Acetate-Formation$Pyruvate-Ethanol-Fermentation	acetylene degradation (anaerobic)		acetylene degradation (anaerobic)$acetylene fermentation	
PWY-7641				Acetlylenic-Fatty-Acid-Biosynthesis	5-hexynoate biosynthesis		5-hexynoate biosynthesis	
PWY-6603	Biosynthesis	Fatty-Acid-and-Lipid-Biosynthesis	Fatty-Acid-Biosynthesis	Acetlylenic-Fatty-Acid-Biosynthesis$Metabolic-Clusters$PUFA-Biosynthesis	dicranin biosynthesis		"dicranin biosynthesis$9,12,15-octadecatrien-6-ynoic acid biosynthesis"	
PWY-6013	Biosynthesis	Fatty-Acid-and-Lipid-Biosynthesis	Fatty-Acid-Biosynthesis	Acetlylenic-Fatty-Acid-Biosynthesis$PUFA-Biosynthesis	crepenynate biosynthesis		crepenynate biosynthesis$crepenynic acid biosynthesis	
PWY-6389			Fermentation	Acetoin-Biosynthesis	pyruvate fermentation to (S)-acetoin		pyruvate fermentation to (S)-acetoin$L-acetoin biosynthesis$pyruvic acid fermentation to (S)-acetoin	PWY-6396
PWY3O-440			Fermentation	Acetoin-Biosynthesis	pyruvate fermentation to acetoin III		pyruvate fermentation to acetoin III$pyruvic acid fermentation to acetoin III	
PWY-5938			Fermentation	Acetoin-Biosynthesis	pyruvate fermentation to (R)-acetoin I		pyruvate fermentation to (R)-acetoin I$D-acetoin biosynthesis I$pyruvic acid fermentation to (R)-acetoin I	P125-PWY
PWY-5939			Fermentation	Acetoin-Biosynthesis	pyruvate fermentation to (R)-acetoin II		pyruvate fermentation to (R)-acetoin II$D-acetoin biosynthesis II$pyruvic acid fermentation to (R)-acetoin II	P125-PWY
PWY-5533	Degradation/Utilization/Assimilation	Fatty-Acid-and-Lipid-Degradation	Acetone-Degradation	Acetone-Degradation	acetone degradation II (to acetoacetate)		acetone degradation II (to acetoacetate)$isopropanol degradation$acetone degradation II (to acetoacetic acid)	
PWY-7466	Degradation/Utilization/Assimilation	Fatty-Acid-and-Lipid-Degradation	Acetone-Degradation	Acetone-Degradation	"acetone degradation III (to propane-1,2-diol)"		"acetone degradation III (to propane-1,2-diol)"	
PWY-5451	Degradation/Utilization/Assimilation	Fatty-Acid-and-Lipid-Degradation	Acetone-Degradation	Acetone-Degradation	acetone degradation I (to methylglyoxal)		acetone degradation I (to methylglyoxal)	
PWY-6970				Acetyl-CoA-Biosynthesis	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)		acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	
PWY-5172				Acetyl-CoA-Biosynthesis	acetyl-CoA biosynthesis III (from citrate)		acetyl-CoA biosynthesis III (from citrate)	PWY-5173
PYRUVDEHYD-PWY	Degradation/Utilization/Assimilation	Carboxylate Degradation	Carboxylate-Degradation	Acetyl-CoA-Biosynthesis$CARBOXYLATES-DEG	pyruvate decarboxylation to acetyl CoA	Generation of Precursor Metabolite and Energy	pyruvate decarboxylation to acetyl CoA$pyruvate dehydrogenase complex$acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)$pyruvic acid decarboxylation to acetyl CoA	PWY-5464$PWY-5173
PWY-5173				Acetyl-CoA-Biosynthesis$Super-Pathways	superpathway of acetyl-CoA biosynthesis		superpathway of acetyl-CoA biosynthesis	
PWY-5677	Degradation/Utilization/Assimilation	Generation of Precursor Metabolite and Energy	Fermentation	Acetyl-CoA-Butyrate	succinate fermentation to butanoate		succinate fermentation to butanoate$succinate fermentation to butyrate$succinic acid fermentation to butanoic acid	
GLUDEG-II-PWY	Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation	Acetyl-CoA-Butyrate$GLUTAMATE-DEG$Super-Pathways	L-glutamate degradation VII (to butanoate)		L-glutamate degradation VII (to butanoate)$L-glutamate fermentation$mesaconate pathway$L-glutamate degradation VII (to butyrate)$L-glutamic acid degradation VII (to butanoic acid)	
CENTFERM-PWY	Degradation/Utilization/Assimilation	Generation of Precursor Metabolite and Energy	Fermentation	Acetyl-CoA-Butyrate$Pyruvate-Degradation	pyruvate fermentation to butanoate		pyruvate fermentation to butanoate$central fermentation pathway$acetobutylicum fermentation$pyruvate fermentation to butyrate$pyruvic acid fermentation to butanoic acid	GLUDEG-II-PWY$PWY-6590
PWY-5676	Degradation/Utilization/Assimilation	Generation of Precursor Metabolite and Energy	Fermentation	Acetyl-CoA-Butyrate$Super-Pathways	acetyl-CoA fermentation to butanoate II		acetyl-CoA fermentation to butanoate II$acetyl-CoA fermentation to butyrate II$acetyl-CoA fermentation to butanoic acid II	
PWY-7953	Biosynthesis	Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)		UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	
PWY-6387	Biosynthesis	Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)		UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY$PWY-6385
PWY-6386	Biosynthesis	Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)		UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6471$PWY-5265$PWY-6470
PWY0-1299	Detoxification	Acid-Resistance	Acid-Resistance	Acid-Resistance	arginine dependent acid resistance		arginine dependent acid resistance	
PWY0-1305	Detoxification	Acid-Resistance	Acid-Resistance	Acid-Resistance$GLUTAMATE-DEG	L-glutamate degradation IX (via 4-aminobutanoate)		L-glutamate degradation IX (via 4-aminobutanoate)$glutamate dependent acid resistance$L-glutamate degradation IX (via 4-aminobutyrate)	
PWY-7685	Detoxification	Carboxylate Degradation	Acid-Resistance	Acid-Resistance$L-Malate-Degradation	L-malate degradation I	Degradation/Utilization/Assimilation	L-malate degradation I$malolactic fermentation (misleading)$(S)--malate degradation I	
PWY0-1601	Detoxification	Acid-Resistance	Acid-Resistance	Acid-Resistance$Polyamine-Biosynthesis	cadaverine biosynthesis		cadaverine biosynthesis$acid resistance system 4$L-lysine-dependent acid resistance	
PWY-7308	Degradation/Utilization/Assimilation	Acrylonitrile Degradation	Acrylonitrile Degradation	Acrylonitrile-Degradation	acrylonitrile degradation I		acrylonitrile degradation I	P344-PWY
PWY-7309	Degradation/Utilization/Assimilation	Acrylonitrile Degradation	Acrylonitrile Degradation	Acrylonitrile-Degradation	acrylonitrile degradation II		acrylonitrile degradation II	P344-PWY
P344-PWY	Degradation/Utilization/Assimilation	Acrylonitrile Degradation	Acrylonitrile Degradation	Acrylonitrile-Degradation$Super-Pathways	superpathway of acrylonitrile degradation		superpathway of acrylonitrile degradation	
PWY-1822				Activation	indole-3-acetate activation I		indole-3-acetate activation I$IAA biosynthesis from amide-conjugates$IAA deconjugation$indole-3-acetic acid biosynthesis from amide-conjugates$IAA activation I$indole-3-acetic acid activation I	
PWY-7895				Activation	ethionamide activation		ethionamide activation	
PWY-1921				Activation	indole-3-acetate activation II		indole-3-acetate activation II$IAA biosynthesis from glucosylated derivatives$IAA activation II$indole-3-acetic acid activation II	
PWY-7896				Activation	isoniazid activation		isoniazid activation	
PWY-4441				Activation	DIMBOA-glucoside activation		DIMBOA-glucoside activation	
PWY-6012-1	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Activation$Cofactor-Biosynthesis	acyl carrier protein activation		acyl carrier protein activation$[acp] metabolism$ACP metabolism$ACP activation	
PWY-7321				Activation$Inactivation$Metabolic-Clusters	ecdysteroid metabolism (arthropods)		ecdysteroid metabolism (arthropods)	
PWY-5143				Activation$Lipid-Biosynthesis	long-chain fatty acid activation		long-chain fatty acid activation$long-chain acyl-CoA synthetase pathway	
