"","V1","V2"
"59","EC:1.1.1.234","Flavanone 4-reductase"
"60","EC:1.1.1.236","Tropinone reductase II"
"61","EC:1.1.1.237","Hydroxyphenylpyruvate reductase"
"62","EC:1.1.1.239","3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))"
"63","EC:1.1.1.243","Carveol dehydrogenase"
"64","EC:1.1.1.244","Methanol dehydrogenase"
"65","EC:1.1.1.25","Shikimate dehydrogenase"
"66","EC:1.1.1.251","Galactitol-1-phosphate 5-dehydrogenase"
"67","EC:1.1.1.252","Tetrahydroxynaphthalene reductase"
"68","EC:1.1.1.257","4-(hydroxymethyl)benzenesulfonate dehydrogenase"
"69","EC:1.1.1.26","Glyoxylate reductase"
"70","EC:1.1.1.261","sn-glycerol-1-phosphate dehydrogenase"
"71","EC:1.1.1.262","4-hydroxythreonine-4-phosphate dehydrogenase"
"72","EC:1.1.1.264","L-idonate 5-dehydrogenase (NAD(P)(+))"
"73","EC:1.1.1.267","1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"74","EC:1.1.1.27","L-lactate dehydrogenase"
"75","EC:1.1.1.271","GDP-L-fucose synthase"
"76","EC:1.1.1.272","D-2-hydroxyacid dehydrogenase (NADP(+))"
"77","EC:1.1.1.275","(+)-trans-carveol dehydrogenase"
"78","EC:1.1.1.276","Serine 3-dehydrogenase (NADP(+))"
"79","EC:1.1.1.28","D-lactate dehydrogenase"
"80","EC:1.1.1.281","GDP-4-dehydro-6-deoxy-D-mannose reductase"
"81","EC:1.1.1.282","Quinate/shikimate dehydrogenase"
"82","EC:1.1.1.283","Methylglyoxal reductase (NADPH)"
"83","EC:1.1.1.284","S-(hydroxymethyl)glutathione dehydrogenase"
"84","EC:1.1.1.286","Isocitrate--homoisocitrate dehydrogenase"
"85","EC:1.1.1.287","D-arabinitol dehydrogenase (NADP(+))"
"86","EC:1.1.1.288","Xanthoxin dehydrogenase"
"87","EC:1.1.1.289","Sorbose reductase"
"88","EC:1.1.1.29","Glycerate dehydrogenase"
"89","EC:1.1.1.290","4-phosphoerythronate dehydrogenase"
"90","EC:1.1.1.291","2-hydroxymethylglutarate dehydrogenase"
"91","EC:1.1.1.292","1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)"
"92","EC:1.1.1.294","Chlorophyll(ide) b reductase"
"93","EC:1.1.1.298","3-hydroxypropionate dehydrogenase (NADP(+))"
"94","EC:1.1.1.3","Homoserine dehydrogenase"
"95","EC:1.1.1.30","3-hydroxybutyrate dehydrogenase"
"96","EC:1.1.1.300","NADP-retinol dehydrogenase"
"97","EC:1.1.1.301","D-arabitol-phosphate dehydrogenase"
"98","EC:1.1.1.302","2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
"99","EC:1.1.1.303","Diacetyl reductase ((R)-acetoin forming)"
"100","EC:1.1.1.304","Diacetyl reductase ((S)-acetoin forming)"
"101","EC:1.1.1.305","UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)"
"102","EC:1.1.1.306","S-(hydroxymethyl)mycothiol dehydrogenase"
"103","EC:1.1.1.307","D-xylose reductase"
"104","EC:1.1.1.308","Sulfopropanediol 3-dehydrogenase"
"105","EC:1.1.1.309","Phosphonoacetaldehyde reductase (NADH)"
"106","EC:1.1.1.31","3-hydroxyisobutyrate dehydrogenase"
"107","EC:1.1.1.310","(S)-sulfolactate dehydrogenase"
"108","EC:1.1.1.311","(S)-1-phenylethanol dehydrogenase"
"109","EC:1.1.1.312","2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase"
"110","EC:1.1.1.313","Sulfoacetaldehyde reductase"
"111","EC:1.1.1.315","11-cis-retinol dehydrogenase"
"112","EC:1.1.1.316","L-galactose 1-dehydrogenase"
"113","EC:1.1.1.320","Benzil reductase ((S)-benzoin forming)"
"114","EC:1.1.1.325","Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)"
"115","EC:1.1.1.327","5-exo-hydroxycamphor dehydrogenase"
"116","EC:1.1.1.328","Nicotine blue oxidoreductase"
"117","EC:1.1.1.329","2-deoxy-scyllo-inosamine dehydrogenase"
"118","EC:1.1.1.330","Very-long-chain 3-oxoacyl-CoA reductase"
"119","EC:1.1.1.333","Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase"
"120","EC:1.1.1.335","UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase"
"121","EC:1.1.1.336","UDP-N-acetyl-D-mannosamine dehydrogenase"
"122","EC:1.1.1.337","L-2-hydroxycarboxylate dehydrogenase (NAD(+))"
"123","EC:1.1.1.338","(2R)-3-sulfolactate dehydrogenase (NADP(+))"
"124","EC:1.1.1.339","dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))"
"125","EC:1.1.1.34","Hydroxymethylglutaryl-CoA reductase (NADPH)"
"126","EC:1.1.1.340","1-deoxy-11-beta-hydroxypentalenate dehydrogenase"
"127","EC:1.1.1.341","CDP-abequose synthase"
"128","EC:1.1.1.342","CDP-paratose synthase"
"129","EC:1.1.1.343","Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)"
"130","EC:1.1.1.344","dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))"
"131","EC:1.1.1.346","2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)"
"132","EC:1.1.1.347","Geraniol dehydrogenase (NAD(+))"
"133","EC:1.1.1.35","3-hydroxyacyl-CoA dehydrogenase"
"134","EC:1.1.1.350","Ureidoglycolate dehydrogenase (NAD(+))"
"135","EC:1.1.1.359","Aldose 1-dehydrogenase (NAD(P)(+))"
"136","EC:1.1.1.36","Acetoacetyl-CoA reductase"
"137","EC:1.1.1.360","Glucose/galactose 1-dehydrogenase"
"138","EC:1.1.1.361","Glucose-6-phosphate 3-dehydrogenase"
"139","EC:1.1.1.362","Aklaviketone reductase"
"140","EC:1.1.1.363","Glucose-6-phosphate dehydrogenase (NAD(P)(+))"
"141","EC:1.1.1.364","dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase"
"142","EC:1.1.1.365","D-galacturonate reductase"
"143","EC:1.1.1.366","L-idonate 5-dehydrogenase (NAD(+))"
"144","EC:1.1.1.367","UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase"
"145","EC:1.1.1.368","6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase"
"146","EC:1.1.1.369","D-chiro-inositol 1-dehydrogenase"
"147","EC:1.1.1.37","Malate dehydrogenase"
"148","EC:1.1.1.370","Scyllo-inositol 2-dehydrogenase (NAD(+))"
"149","EC:1.1.1.371","Scyllo-inositol 2-dehydrogenase (NADP(+))"
"150","EC:1.1.1.373","Sulfolactaldehyde 3-reductase"
"151","EC:1.1.1.374","UDP-N-acetylglucosamine 3-dehydrogenase"
"152","EC:1.1.1.376","L-arabinose 1-dehydrogenase (NAD(P)(+))"
"153","EC:1.1.1.377","L-rhamnose 1-dehydrogenase (NADP(+))"
"154","EC:1.1.1.378","L-rhamnose 1-dehydrogenase (NAD(P)(+))"
"155","EC:1.1.1.38","Malate dehydrogenase (oxaloacetate-decarboxylating)"
"156","EC:1.1.1.380","L-gulonate 5-dehydrogenase"
"157","EC:1.1.1.381","3-hydroxy acid dehydrogenase"
"158","EC:1.1.1.385","Dihydroanticapsin 7-dehydrogenase"
"159","EC:1.1.1.387","L-serine 3-dehydrogenase (NAD(+))"
"160","EC:1.1.1.388","Glucose-6-phosphate dehydrogenase (NAD(+))"
"161","EC:1.1.1.39","Malate dehydrogenase (decarboxylating)"
"162","EC:1.1.1.4","(R,R)-butanediol dehydrogenase"
"163","EC:1.1.1.40","Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
"164","EC:1.1.1.41","Isocitrate dehydrogenase (NAD(+))"
"165","EC:1.1.1.42","Isocitrate dehydrogenase (NADP(+))"
"166","EC:1.1.1.43","Phosphogluconate 2-dehydrogenase"
"167","EC:1.1.1.44","Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
"168","EC:1.1.1.45","L-gulonate 3-dehydrogenase"
"169","EC:1.1.1.47","Glucose 1-dehydrogenase (NAD(P)(+))"
"170","EC:1.1.1.48","D-galactose 1-dehydrogenase"
"171","EC:1.1.1.49","Glucose-6-phosphate dehydrogenase (NADP(+))"
"172","EC:1.1.1.51","3(or 17)-beta-hydroxysteroid dehydrogenase"
"173","EC:1.1.1.53","3-alpha(or 20-beta)-hydroxysteroid dehydrogenase"
"174","EC:1.1.1.56","Ribitol 2-dehydrogenase"
"175","EC:1.1.1.57","Fructuronate reductase"
"176","EC:1.1.1.58","Tagaturonate reductase"
"177","EC:1.1.1.6","Glycerol dehydrogenase"
"178","EC:1.1.1.60","2-hydroxy-3-oxopropionate reductase"
"179","EC:1.1.1.61","4-hydroxybutyrate dehydrogenase"
"180","EC:1.1.1.62","17-beta-estradiol 17-dehydrogenase"
"181","EC:1.1.1.64","Testosterone 17-beta-dehydrogenase (NADP(+))"
"182","EC:1.1.1.65","Pyridoxine 4-dehydrogenase"
"183","EC:1.1.1.67","Mannitol 2-dehydrogenase"
"184","EC:1.1.1.69","Gluconate 5-dehydrogenase"
"185","EC:1.1.1.76","(S,S)-butanediol dehydrogenase"
"186","EC:1.1.1.77","Lactaldehyde reductase"
"187","EC:1.1.1.79","Glyoxylate reductase (NADP(+))"
"188","EC:1.1.1.8","Glycerol-3-phosphate dehydrogenase (NAD(+))"
"189","EC:1.1.1.81","Hydroxypyruvate reductase"
"190","EC:1.1.1.82","Malate dehydrogenase (NADP(+))"
"191","EC:1.1.1.83","D-malate dehydrogenase (decarboxylating)"
"192","EC:1.1.1.85","3-isopropylmalate dehydrogenase"
"193","EC:1.1.1.86","Ketol-acid reductoisomerase (NADP(+))"
"194","EC:1.1.1.87","Homoisocitrate dehydrogenase"
"195","EC:1.1.1.88","Hydroxymethylglutaryl-CoA reductase"
"196","EC:1.1.1.9","D-xylulose reductase"
"197","EC:1.1.1.90","Aryl-alcohol dehydrogenase"
"198","EC:1.1.1.91","Aryl-alcohol dehydrogenase (NADP(+))"
"199","EC:1.1.1.93","Tartrate dehydrogenase"
"200","EC:1.1.1.94","Glycerol-3-phosphate dehydrogenase (NAD(P)(+))"
"201","EC:1.1.1.95","Phosphoglycerate dehydrogenase"
"202","EC:1.1.2.3","L-lactate dehydrogenase (cytochrome)"
"203","EC:1.1.2.4","D-lactate dehydrogenase (cytochrome)"
"204","EC:1.1.2.6","Polyvinyl alcohol dehydrogenase (cytochrome)"
"205","EC:1.1.2.7","Methanol dehydrogenase (cytochrome c)"
"206","EC:1.1.2.8","Alcohol dehydrogenase (cytochrome c)"
"207","EC:1.1.3.12","Pyridoxine 4-oxidase"
"208","EC:1.1.3.15","(S)-2-hydroxy-acid oxidase"
"209","EC:1.1.3.17","Choline oxidase"
"210","EC:1.1.3.20","Long-chain-alcohol oxidase"
"211","EC:1.1.3.21","Glycerol-3-phosphate oxidase"
"212","EC:1.1.3.37","D-arabinono-1,4-lactone oxidase"
"213","EC:1.1.3.41","Alditol oxidase"
"214","EC:1.1.3.43","Paromamine 6'-oxidase"
"215","EC:1.1.3.44","6'''-hydroxyneomycin C oxidase"
"216","EC:1.1.3.45","Aclacinomycin-N oxidase"
"217","EC:1.1.3.46","4-hydroxymandelate oxidase"
"218","EC:1.1.3.47","5-(hydroxymethyl)furfural oxidase"
"219","EC:1.1.3.48","3-deoxy-alpha-D-manno-octulosonate 8-oxidase"
"220","EC:1.1.3.6","Cholesterol oxidase"
"221","EC:1.1.3.8","L-gulonolactone oxidase"
"222","EC:1.1.3.9","Galactose oxidase"
"223","EC:1.1.5.2","Quinoprotein glucose dehydrogenase (PQQ, quinone)"
"224","EC:1.1.5.3","Glycerol-3-phosphate dehydrogenase"
"225","EC:1.1.5.4","Malate dehydrogenase (quinone)"
"226","EC:1.1.5.6","Formate dehydrogenase-N"
"227","EC:1.1.5.8","Quinate dehydrogenase (quinone)"
"228","EC:1.1.5.9","Glucose 1-dehydrogenase (FAD, quinone)"
"229","EC:1.1.9.1","Alcohol dehydrogenase (azurin)"
"230","EC:1.1.98.2","Glucose-6-phosphate dehydrogenase (coenzyme-F420)"
"231","EC:1.1.98.3","Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase"
"232","EC:1.1.99.1","Choline dehydrogenase"
"233","EC:1.1.99.18","Cellobiose dehydrogenase (acceptor)"
"234","EC:1.1.99.2","L-2-hydroxyglutarate dehydrogenase"
"235","EC:1.1.99.21","D-sorbitol dehydrogenase (acceptor)"
"236","EC:1.1.99.24","Hydroxyacid-oxoacid transhydrogenase"
"237","EC:1.1.99.28","Glucose-fructose oxidoreductase"
"238","EC:1.1.99.3","Gluconate 2-dehydrogenase (acceptor)"
"239","EC:1.1.99.31","(S)-mandelate dehydrogenase"
"240","EC:1.1.99.38","2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)"
"241","EC:1.1.99.39","D-2-hydroxyglutarate dehydrogenase"
"242","EC:1.10.2.2","Quinol--cytochrome-c reductase"
"243","EC:1.10.3.1","Catechol oxidase"
"244","EC:1.10.3.11","Ubiquinol oxidase (non-electrogenic)"
"245","EC:1.10.3.12","Menaquinol oxidase (H(+)-transporting)"
"246","EC:1.10.3.2","Laccase"
"247","EC:1.10.3.3","L-ascorbate oxidase"
"248","EC:1.10.5.1","Ribosyldihydronicotinamide dehydrogenase (quinone)"
"249","EC:1.10.9.1","Plastoquinol--plastocyanin reductase"
"250","EC:1.11.1.1","NADH peroxidase"
"251","EC:1.11.1.10","Chloride peroxidase"
"252","EC:1.11.1.11","L-ascorbate peroxidase"
"253","EC:1.11.1.12","Phospholipid-hydroperoxide glutathione peroxidase"
"254","EC:1.11.1.15","Peroxiredoxin"
"255","EC:1.11.1.19","Dye decolorizing peroxidase"
"256","EC:1.11.1.20","Prostamide/prostaglandin F(2-alpha) synthase"
"257","EC:1.11.1.21","Catalase peroxidase"
"258","EC:1.11.1.23","(S)-2-hydroxypropylphosphonic acid epoxidase"
"259","EC:1.11.1.5","Cytochrome-c peroxidase"
"260","EC:1.11.1.6","Catalase"
"261","EC:1.11.1.7","Peroxidase"
"262","EC:1.11.1.9","Glutathione peroxidase"
"263","EC:1.11.2.3","Plant seed peroxygenase"
"264","EC:1.11.2.4","Fatty-acid peroxygenase"
"265","EC:1.12.1.2","Hydrogen dehydrogenase"
"266","EC:1.12.1.3","Hydrogen dehydrogenase (NADP(+))"
"267","EC:1.12.1.4","Hydrogenase (NAD(+), ferredoxin)"
"268","EC:1.12.1.5","Hydrogen dehydrogenase (NAD(P)(+))"
"269","EC:1.12.2.1","Cytochrome-c3 hydrogenase"
"270","EC:1.12.5.1","Hydrogen:quinone oxidoreductase"
"271","EC:1.12.7.2","Ferredoxin hydrogenase"
"272","EC:1.12.98.1","Coenzyme F420 hydrogenase"
"273","EC:1.12.98.2","5,10-methenyltetrahydromethanopterin hydrogenase"
"274","EC:1.12.98.4","Sulfhydrogenase"
"275","EC:1.12.99.6","Hydrogenase (acceptor)"
"276","EC:1.13.11.1","Catechol 1,2-dioxygenase"
"277","EC:1.13.11.11","Tryptophan 2,3-dioxygenase"
"278","EC:1.13.11.12","Linoleate 13S-lipoxygenase"
"279","EC:1.13.11.14","2,3-dihydroxybenzoate 3,4-dioxygenase"
"280","EC:1.13.11.15","3,4-dihydroxyphenylacetate 2,3-dioxygenase"
"281","EC:1.13.11.16","3-carboxyethylcatechol 2,3-dioxygenase"
"282","EC:1.13.11.18","Persulfide dioxygenase"
"283","EC:1.13.11.19","Cysteamine dioxygenase"
"284","EC:1.13.11.2","Catechol 2,3-dioxygenase"
"285","EC:1.13.11.20","Cysteine dioxygenase"
"286","EC:1.13.11.24","Quercetin 2,3-dioxygenase"
"287","EC:1.13.11.25","dioxygenase"
"288","EC:1.13.11.27","4-hydroxyphenylpyruvate dioxygenase"
"289","EC:1.13.11.3","Protocatechuate 3,4-dioxygenase"
"290","EC:1.13.11.33","Arachidonate 15-lipoxygenase"
"291","EC:1.13.11.34","Arachidonate 5-lipoxygenase"
"292","EC:1.13.11.37","Hydroxyquinol 1,2-dioxygenase"
"293","EC:1.13.11.38","1-hydroxy-2-naphthoate 1,2-dioxygenase"
"294","EC:1.13.11.39","Biphenyl-2,3-diol 1,2-dioxygenase"
"295","EC:1.13.11.4","Gentisate 1,2-dioxygenase"
"296","EC:1.13.11.41","2,4'-dihydroxyacetophenone dioxygenase"
"297","EC:1.13.11.46","4-hydroxymandelate synthase"
"298","EC:1.13.11.49","Chlorite O(2)-lyase"
"299","EC:1.13.11.5","Homogentisate 1,2-dioxygenase"
"300","EC:1.13.11.51","9-cis-epoxycarotenoid dioxygenase"
"301","EC:1.13.11.52","Indoleamine 2,3-dioxygenase"
"302","EC:1.13.11.53","Acireductone dioxygenase (Ni(2+)-requiring)"
"303","EC:1.13.11.54","Acireductone dioxygenase (Fe(2+)-requiring)"
"304","EC:1.13.11.55","Sulfur oxygenase/reductase"
"305","EC:1.13.11.56","1,2-dihydroxynaphthalene dioxygenase"
"306","EC:1.13.11.57","Gallate dioxygenase"
"307","EC:1.13.11.58","Linoleate 9S-lipoxygenase"
"308","EC:1.13.11.59","Torulene dioxygenase"
"309","EC:1.13.11.6","3-hydroxyanthranilate 3,4-dioxygenase"
"310","EC:1.13.11.61","Linolenate 9R-lipoxygenase"
"311","EC:1.13.11.63","Beta-carotene 15,15'-dioxygenase"
"312","EC:1.13.11.65","Carotenoid isomerooxygenase"
"313","EC:1.13.11.66","Hydroquinone 1,2-dioxygenase"
"314","EC:1.13.11.68","9-cis-beta-carotene 9',10'-cleaving dioxygenase"
"315","EC:1.13.11.69","Carlactone synthase"
"316","EC:1.13.11.70","All-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase"
"317","EC:1.13.11.71","Carotenoid-9',10'-cleaving dioxygenase"
"318","EC:1.13.11.72","2-hydroxyethylphosphonate dioxygenase"
"319","EC:1.13.11.73","Methylphosphonate synthase"
"320","EC:1.13.11.74","2-aminophenol 1,6-dioxygenase"
"321","EC:1.13.11.75","All-trans-8'-apo-beta-carotenal 15,15'-oxygenase"
"322","EC:1.13.11.76","2-amino-5-chlorophenol 1,6-dioxygenase"
"323","EC:1.13.11.79","5,6-dimethylbenzimidazole synthase"
"324","EC:1.13.11.8","Protocatechuate 4,5-dioxygenase"
"325","EC:1.13.11.80","(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase"
"326","EC:1.13.11.9","2,5-dihydroxypyridine 5,6-dioxygenase"
"327","EC:1.13.12.16","Nitronate monooxygenase"
"328","EC:1.13.12.21","Tetracenomycin-F1 monooxygenase"
"329","EC:1.13.12.22","Deoxynogalonate monooxygenase"
"330","EC:1.13.12.3","Tryptophan 2-monooxygenase"
"331","EC:1.13.12.4","Lactate 2-monooxygenase"
"332","EC:1.13.99.1","Inositol oxygenase"
"333","EC:1.14.11.1","Gamma-butyrobetaine dioxygenase"
"334","EC:1.14.11.12","Gibberellin-44 dioxygenase"
"335","EC:1.14.11.13","Gibberellin 2-beta-dioxygenase"
"336","EC:1.14.11.15","Gibberellin 3-beta-dioxygenase"
"337","EC:1.14.11.16","Peptide-aspartate beta-dioxygenase"
"338","EC:1.14.11.17","Taurine dioxygenase"
"339","EC:1.14.11.18","Phytanoyl-CoA dioxygenase"
"340","EC:1.14.11.19","Leucocyanidin oxygenase"
"341","EC:1.14.11.2","Procollagen-proline dioxygenase"
"342","EC:1.14.11.21","Clavaminate synthase"
"343","EC:1.14.11.23","Flavonol synthase"
"344","EC:1.14.11.26","Deacetoxycephalosporin-C hydroxylase"
"345","EC:1.14.11.27","[Histone H3]-lysine-36 demethylase"
"346","EC:1.14.11.29","Hypoxia-inducible factor-proline dioxygenase"
"347","EC:1.14.11.30","Hypoxia-inducible factor-asparagine dioxygenase"
"348","EC:1.14.11.33","DNA oxidative demethylase"
"349","EC:1.14.11.35","1-deoxypentalenic acid 11-beta-hydroxylase"
"350","EC:1.14.11.36","Pentalenolactone F synthase"
"351","EC:1.14.11.39","L-asparagine oxygenase"
"352","EC:1.14.11.4","Procollagen-lysine 5-dioxygenase"
"353","EC:1.14.11.42","tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase"
"354","EC:1.14.11.47","50S ribosomal protein L16 3-hydroxylase"
"355","EC:1.14.11.8","Trimethyllysine dioxygenase"
"356","EC:1.14.11.9","Flavanone 3-dioxygenase"
"357","EC:1.14.12.1","Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)"
"358","EC:1.14.12.10","Benzoate 1,2-dioxygenase"
"359","EC:1.14.12.11","Toluene dioxygenase"
"360","EC:1.14.12.12","Naphthalene 1,2-dioxygenase"
"361","EC:1.14.12.13","2-halobenzoate 1,2-dioxygenase"
"362","EC:1.14.12.14","2-aminobenzenesulfonate 2,3-dioxygenase"
"363","EC:1.14.12.15","Terephthalate 1,2-dioxygenase"
"364","EC:1.14.12.17","Nitric oxide dioxygenase"
"365","EC:1.14.12.18","Biphenyl 2,3-dioxygenase"
"366","EC:1.14.12.19","3-phenylpropanoate dioxygenase"
"367","EC:1.14.12.20","Pheophorbide a oxygenase"
"368","EC:1.14.12.22","Carbazole 1,9a-dioxygenase"
"369","EC:1.14.12.3","Benzene 1,2-dioxygenase"
"370","EC:1.14.12.4","3-hydroxy-2-methylpyridinecarboxylate dioxygenase"
"371","EC:1.14.12.7","Phthalate 4,5-dioxygenase"
"372","EC:1.14.13.1","Salicylate 1-monooxygenase"
"373","EC:1.14.13.10","2,6-dihydroxypyridine 3-monooxygenase"
"374","EC:1.14.13.100","25/26-hydroxycholesterol 7-alpha-hydroxylase"
"375","EC:1.14.13.106","Epi-isozizaene 5-monooxygenase"
"376","EC:1.14.13.107","Limonene 1,2-monooxygenase"
"377","EC:1.14.13.11","Trans-cinnamate 4-monooxygenase"
"378","EC:1.14.13.111","Methanesulfonate monooxygenase"
"379","EC:1.14.13.112","3-epi-6-deoxocathasterone 23-monooxygenase"
"380","EC:1.14.13.113","FAD-dependent urate hydroxylase"
"381","EC:1.14.13.114","6-hydroxynicotinate 3-monooxygenase"
"382","EC:1.14.13.12","Benzoate 4-monooxygenase"
"383","EC:1.14.13.122","Chlorophyllide-a oxygenase"
"384","EC:1.14.13.124","Phenylalanine N-monooxygenase"
"385","EC:1.14.13.127","3-(3-hydroxy-phenyl)propanoic acid hydroxylase"
"386","EC:1.14.13.129","Beta-carotene 3-hydroxylase"
"387","EC:1.14.13.131","Dimethyl-sulfide monooxygenase"
"388","EC:1.14.13.133","Pentalenene oxygenase"
"389","EC:1.14.13.141","Cholest-4-en-3-one 26-monooxygenase"
"390","EC:1.14.13.142","3-ketosteroid 9-alpha-monooxygenase"
"391","EC:1.14.13.148","Trimethylamine monooxygenase"
"392","EC:1.14.13.149","Phenylacetyl-CoA 1,2-epoxidase"
"393","EC:1.14.13.151","Linalool 8-monooxygenase"
"394","EC:1.14.13.154","Erythromycin 12 hydroxylase"
"395","EC:1.14.13.159","Vitamin D 25-hydroxylase"
"396","EC:1.14.13.163","6-hydroxy-3-succinoylpyridine 3-monooxygenase"
"397","EC:1.14.13.165","Nitric-oxide synthase (NAD(P)H)"
"398","EC:1.14.13.168","Indole-3-pyruvate monooxygenase"
"399","EC:1.14.13.17","Cholesterol 7-alpha-monooxygenase"
"400","EC:1.14.13.170","Pentalenolactone D synthase"
"401","EC:1.14.13.171","Neopentalenolactone D synthase"
"402","EC:1.14.13.172","Salicylate 5-hydroxylase"
"403","EC:1.14.13.180","Aklavinone 12-hydroxylase"
