OTU,Chris-01,Chris-02,Chris-03,Chris-04,Chris-05,Chris-06,Chris-07,Chris-08,Chris-09,Chris-10,Chris-11,Chris-12,Chris-13,Chris-14,Chris-15,Chris-16,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_20,1,1,0,1,1,43,32,44,35,43,0,0,0,0,1,0,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,midas_s_36
OTU_21,1,0,0,0,0,78,78,118,103,153,28,21,1,20,2,0,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,midas_s_90212
OTU_22,2,0,0,1,1,0,0,1,0,4,311,382,43,379,396,61,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina,
OTU_23,1,0,1,0,0,3,4,1,2,7,0,0,0,0,0,0,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,
OTU_24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Ca_Methanoplasma,midas_s_100838
OTU_25,150,477,294,167,230,117,103,90,69,87,442,286,420,411,184,116,Bacteria,,,,,,
OTU_26,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,Bacteria,Acidobacteriota,,,,,
OTU_27,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,midas_s_6438
OTU_28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Acidobacteriae,Paludibaculum,midas_f_675,midas_g_1988,midas_s_1988
OTU_29,4,3,1,0,0,39,8,9,35,35,0,0,1,0,3,1,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,midas_f_1714,midas_g_1714,midas_s_1714
OTU_30,1,0,0,0,0,20,25,28,21,13,48,31,42,45,43,66,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,midas_f_55,midas_g_2538,
OTU_31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,11-24,midas_f_14138,,
OTU_32,1,3,2,7,6,0,0,1,2,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,11-24,midas_f_1424,,
OTU_33,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,11-24,midas_f_1424,midas_g_1424,
OTU_34,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,11-24,midas_f_1424,midas_g_15395,
OTU_35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,
OTU_36,1,2,6,1,4,0,0,0,1,1,1,0,0,1,1,0,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,
OTU_37,3,2,11,12,3,3,4,1,3,0,0,0,0,0,1,1,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,midas_s_170
OTU_38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,midas_g_144,midas_s_10112
OTU_39,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,
OTU_40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Blastocatellia,DS-100,midas_f_502,,
OTU_41,5,3,8,17,7,2,2,2,1,2,4,2,2,4,1,0,Bacteria,Acidobacteriota,Blastocatellia,DS-100,midas_f_502,midas_g_502,midas_s_502
OTU_42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,midas_g_8096,
OTU_43,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,midas_f_973,midas_g_973,midas_s_5960
OTU_44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,midas_f_973,midas_g_973,midas_s_96760
OTU_45,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,midas_f_973,midas_g_973,midas_s_973
OTU_46,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Subgroup_21,midas_o_3847,midas_f_3847,midas_g_102194,midas_s_102194
OTU_47,1,4,7,1,0,1,7,10,5,9,0,0,1,0,0,0,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,
OTU_48,12,8,4,3,5,1,0,0,1,1,0,0,2,0,0,0,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_1112
OTU_49,2,1,2,0,0,197,125,100,109,104,0,0,0,1,0,1,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_213
OTU_50,5,2,7,2,0,1,0,0,1,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_72301
OTU_51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_81023
OTU_52,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_1096,
OTU_53,4,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_1096,midas_s_1096
OTU_54,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_4670,
OTU_55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_4670,midas_s_4670
OTU_56,1,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,midas_f_352,,
OTU_57,4,4,3,6,5,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,midas_f_352,midas_g_1291,
OTU_58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,midas_f_352,midas_g_1291,midas_s_1291
OTU_59,4,1,3,5,8,0,0,1,1,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,midas_f_352,midas_g_1291,midas_s_22403
OTU_60,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,midas_f_352,midas_g_1584,midas_s_1584
OTU_61,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,midas_f_352,midas_g_991,midas_s_1848
OTU_62,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,midas_g_433,
OTU_63,6,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,midas_g_433,midas_s_8331
OTU_64,10,2,3,5,3,5,18,7,4,5,2,1,2,8,6,7,Bacteria,Actinobacteriota,,,,,
OTU_65,2,0,3,4,1,4,4,3,2,4,0,0,2,0,2,0,Bacteria,Actinobacteriota,Acidimicrobiia,,,,
OTU_66,2,3,0,0,0,1,2,0,0,1,0,0,1,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,,,
OTU_67,3,2,1,3,1,4,6,2,0,0,0,0,1,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,,
OTU_68,5,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_290,
OTU_69,13,4,13,6,2,5,0,12,2,1,0,0,5,2,1,3,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_290,midas_s_911
OTU_70,11,4,3,2,12,3,2,3,5,1,1,0,4,1,1,1,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_3140,
OTU_71,9,9,12,2,16,14,11,3,3,9,2,0,3,3,1,1,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_3140,midas_s_3140
OTU_72,5,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_3140,midas_s_44867
OTU_73,5,1,2,2,0,1,3,2,3,0,0,1,3,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_3140,midas_s_5755
OTU_74,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_366,
OTU_75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_366,midas_s_41635
OTU_76,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_653,
OTU_77,3,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_2,midas_g_8115,midas_s_57322
OTU_78,1,0,0,0,0,2,1,0,1,0,0,1,2,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_3344,midas_g_8294,
OTU_79,3,1,3,0,1,2,1,0,1,3,3,3,1,2,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,midas_f_3344,midas_g_8294,midas_s_8294
OTU_80,2,2,3,1,2,2,0,1,4,3,0,0,0,0,1,2,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,,
OTU_81,25,8,15,13,14,9,7,10,8,8,1,0,5,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,
OTU_82,4,1,2,4,3,5,2,6,2,8,0,0,0,0,0,1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,Aquihabitans_daechungensis
OTU_83,10,1,8,2,0,0,2,6,4,0,1,0,4,0,0,1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,midas_s_18967
OTU_84,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,midas_s_23671
OTU_85,2,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,,
OTU_86,25,3,7,9,18,11,9,9,6,5,0,2,2,2,1,2,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,
OTU_87,4,1,1,2,8,3,3,1,2,2,5,1,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,midas_s_21
OTU_88,3,0,1,2,2,1,1,0,1,0,0,0,1,0,1,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,midas_s_2564
OTU_89,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,midas_s_2831
OTU_90,4,2,0,1,2,0,2,1,0,0,0,0,0,0,1,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,midas_s_5447
OTU_91,6,4,4,4,2,0,2,2,0,5,1,0,1,0,0,1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,midas_s_904
OTU_92,1,0,2,2,3,1,0,0,0,0,0,0,0,0,1,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,midas_g_19476,midas_s_72227
OTU_93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,midas_g_19476,midas_s_75977
OTU_94,23,14,14,7,6,13,17,3,2,3,1,2,3,0,3,4,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,,
OTU_95,32,34,38,25,51,40,38,36,29,52,15,14,35,6,11,18,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,
OTU_96,5,2,2,7,24,1,1,0,5,39,0,0,3,0,1,2,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,midas_s_2275
OTU_97,3,0,0,0,1,1,0,1,2,1,0,0,1,0,0,1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,midas_s_663
OTU_98,23,13,9,10,3,10,8,1,4,2,1,0,6,0,1,4,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_120,
OTU_99,17,2,3,2,4,7,3,3,4,1,0,1,2,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_120,midas_s_334
OTU_100,7,6,2,3,2,11,7,3,0,1,1,0,1,1,1,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_120,midas_s_584
OTU_101,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_1605,midas_s_14308
OTU_102,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,midas_o_2,,,
OTU_103,1,0,0,3,3,2,1,1,0,1,1,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,midas_o_2,midas_f_1575,midas_g_1897,
OTU_104,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bacteria,Actinobacteriota,Acidimicrobiia,midas_o_2,midas_f_1575,midas_g_1897,midas_s_1897
OTU_105,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,midas_o_2,midas_f_1575,midas_g_1897,midas_s_61092
OTU_106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,midas_o_2,midas_f_1575,midas_g_73032,
OTU_107,31,12,26,23,18,26,35,16,10,14,4,11,24,5,18,31,Bacteria,Actinobacteriota,Actinobacteria,,,,
OTU_108,12,6,8,4,9,3,3,2,0,1,3,1,0,1,2,3,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,,,
OTU_109,31,15,34,19,24,1,11,11,7,10,3,1,13,3,5,9,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,,
OTU_110,13,3,4,2,3,1,3,1,0,1,2,1,1,1,0,2,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
OTU_111,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,2,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_34334
OTU_112,3,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_35655
OTU_113,23,3,15,13,3,5,2,10,3,1,2,1,6,2,3,7,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_4035
OTU_114,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_47670
OTU_115,5,4,7,2,4,1,1,1,0,1,2,0,0,0,1,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_51989
OTU_116,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_8518
OTU_117,6,8,4,2,3,2,1,0,1,3,1,3,4,1,1,2,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,midas_s_98652
OTU_118,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_25804,
OTU_119,3,4,3,3,1,1,1,1,1,0,0,0,1,0,2,3,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_25804,midas_s_25804
OTU_120,149,125,143,99,103,55,66,63,45,68,15,21,64,21,37,56,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,
OTU_121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_1316
OTU_122,24,21,25,15,15,1,4,5,4,9,1,0,4,5,5,10,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_1730
OTU_123,1,0,1,0,3,0,0,0,0,0,0,1,0,0,2,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_23025
OTU_124,9,2,6,4,4,2,1,1,1,5,0,2,4,0,0,2,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_2322
OTU_125,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_2430
OTU_126,6,3,7,7,3,3,4,0,1,2,0,0,4,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_343
OTU_127,23,15,9,5,8,4,5,2,5,3,1,3,3,1,2,5,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_407
OTU_128,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_5450
OTU_129,8,8,9,9,4,3,2,3,2,3,1,1,2,3,1,3,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_561
OTU_130,25,9,18,12,22,5,5,2,10,12,4,1,10,3,2,8,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_6880
OTU_131,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_4292,midas_s_4292
OTU_132,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_951,midas_s_75695
OTU_133,50,48,47,38,36,7,3,3,2,6,6,6,3,2,5,1,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
OTU_134,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_adolescentis
OTU_135,2,7,2,3,4,0,1,0,0,0,0,0,0,1,0,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
OTU_136,2,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_faecale
OTU_137,25,13,30,16,13,3,0,1,2,2,1,0,4,2,1,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
OTU_138,1,0,3,1,1,2,0,0,0,0,1,0,0,0,1,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_mongoliense
OTU_139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_ruminantium
OTU_140,6,6,6,4,1,4,0,0,0,2,0,0,3,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,midas_s_101844
OTU_141,9,15,16,10,6,0,1,2,0,2,0,2,3,2,3,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,midas_s_110072
OTU_142,1,3,5,8,6,2,1,1,3,1,3,4,3,4,2,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,midas_s_116480
OTU_143,3,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,midas_s_92048
OTU_144,12,15,14,16,10,7,16,25,11,9,6,13,10,4,7,16,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,,,
OTU_145,2,4,6,3,1,1,1,4,3,1,0,2,0,0,1,7,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
OTU_146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_efficiens
OTU_147,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_glutamicum
OTU_148,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_variabile
OTU_149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_vitaeruminis
OTU_150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,midas_s_112574
