,Date,AD,SludgeType,Treatment,daysop,week,Period,SampleID.TSVS,TS_ww,VS_wwTS,VS_ww,VSr_pct,SampleID.pH,pH,SampleID.CODNH4,COD_mgL,TNH3_mgL,FAN_mgL,CODr_pct,CH4_pct,CH4_L,CH4_L_kgVS,O2_pct,Gasflow_mL,SampleID.CHN,C,H_pct,N_pct,CN,HC,gC_kg,gH_kg,gN_kg,SampleID.VFA,Ethanol,Propanol,Butanol,X1.Hexanol,Acetic.acid,Propionic.acid,iso.Butyric.acid,Butyric.acid,iso.Valeric.acid,Valeric.acid,4-Methyl.valeric.acid,Hexanoic.acid,DTubeID,SampleID.DNA,ngmL_qb,DNA_mg_gCOD,DNA_mg_gVS,DNA_mg_L,DNA_mgLSludge,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,pielou_ev,VFAS
341,28/4/2023,AD1,Control,Control,58,9,SteadyState,,,,,,,,S447_AD1,22407.5,1000,35.65479768,62.96556434,66,3.10331802,423.6611631,1.1,4701.997,S465_AD1,33.666,5.69,5.531,6.1,0.17,5.99,1.01,0.98,S477_AD1,0,0,0,0.12,42.31,37.51,1.07,1.49,1.66,0.36,2.32,1.96,#067,S459_AD1,171.5,1.1792,1.3144,17.05,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8
342,28/4/2023,AD2,Treatment,Treatment,58,9,SteadyState,,,,,,,,S448_AD2,22562,1062.5,38.73346773,62.71021143,67,3.21935402,439.5022553,1.4,4805.006,S466_AD2,33.293,5.359,5.472,6.1,0.16,5.59,0.9,0.92,S478_AD2,0,0,0,0.14,46.63,19.51,0.94,0.9,1.43,0.28,13.9,0.47,#068,S460_AD2,208.5,1.4843,1.6282,21.61,21.6,632.00,649.16,6.88,650.83,12.53,4.58,0.97,36.30,112.52,0.71,84.2
343,28/4/2023,AD3,Control,Control,58,9,SteadyState,,,,,,,,S449_AD3,23037,1087.5,37.08896612,61.92514585,65,2.8989298,395.7583345,1.9,4459.892,S467_AD3,33.477,5.724,5.519,6.1,0.17,6.09,1.04,1,S479_AD3,0,0,0,0.23,14.5,9.45,0.35,0.55,1.28,0.21,3.91,0,#069,S461_AD3,237.5,1.6289,1.9796,24.21,24.2,626.00,635.54,4.80,636.92,12.47,4.72,0.97,32.61,111.23,0.73,30.48
344,28/4/2023,AD4,Control,Control,58,9,SteadyState,,,,,,,,S450_AD4,20169.5,1137.5,43.34742837,66.66446279,69,0.3441099,46.97746075,1.6,498.71,S468_AD4,33.647,5.655,5.09,6.6,0.17,5.45,0.92,0.82,S480_AD4,0,0,0,0.19,55.43,31.74,1.06,1.39,1.83,0.39,4.56,0,#070,S462_AD4,147,1.1574,1.373,15.06,15.1,612.00,627.14,6.76,624.46,12.30,4.57,0.97,35.86,108.21,0.71,96.59
345,28/4/2023,AD5,Treatment,Treatment,58,9,SteadyState,,,,,,,,S451_AD5,21564.5,1062.5,34.65864191,64.35884915,67,1.97111856,269.094684,1.3,2941.968,S469_AD5,34.258,6.466,5.634,6.1,0.19,5.55,1.05,0.91,S481_AD5,0,0,0.07,0.46,32.02,16.5,0.61,0.8,1.56,0.28,3.01,0,#071,S463_AD5,162,1.1829,1.4404,16.46,16.5,598.00,614.13,6.74,615.21,12.22,4.41,0.96,28.30,105.22,0.69,55.24
346,28/4/2023,AD6,Treatment,Treatment,58,9,SteadyState,,,,,,,,S452_AD6,21564.5,950,32.39955661,64.35884915,67,3.16893451,432.6190457,1.7,4729.753,S470_AD6,33.954,5.87,5.435,6.2,0.17,5.98,1.03,0.96,S482_AD6,0,0,0,0.18,81.02,30.44,1.17,1.48,1.93,0.46,3.04,0.44,#072,S464_AD6,191.5,1.4103,1.6727,19.62,19.6,668.00,685.63,6.99,687.06,12.92,4.83,0.97,37.29,120.37,0.74,120.16
359,1/5/2023,AD1,Control,Control,61,10,SteadyState,,,,,,,,S525_AD1,21952,1000,17.3887036,63.97315035,70,2.8459109,395.723416,1.2,4065.587,S567_AD1,33.413,5.519,5.503,6.1,0.17,6.35,1.05,1.05,S531_AD1,0,0,0.7,0.38,32.31,22.57,0.86,0.97,1.61,0.27,2.62,0,#073,S561_AD1,185.33,1.0894,1.1344,15.43,19.3,514.00,528.17,6.76,525.69,11.32,4.52,0.97,32.14,87.63,0.72,61.59
360,1/5/2023,AD2,Treatment,Treatment,61,10,SteadyState,,,,,,,,S526_AD2,21487,1100,19.56518781,64.73629198,71,2.83348788,393.9959972,0.8,3990.828,S568_AD2,31.71,5.907,5.073,6.3,0.19,6.12,1.14,0.98,S532_AD2,0,0,0.91,1.29,35.21,17.97,0.8,0.81,1.54,0.22,2.8,0,#074,S562_AD2,200.33,1.1755,1.1419,16.30,20.4,416.00,428.08,6.01,428.54,10.21,4.24,0.97,29.79,67.99,0.70,60.64
361,1/5/2023,AD3,Control,Control,61,10,SteadyState,,,,,,,,S527_AD3,22184.5,1162.5,21.14970947,63.59157953,70,3.0888032,429.4975481,0.9,4412.576,S569_AD3,33.549,5.343,5.314,6.3,0.16,6.51,1.04,1.03,S533_AD3,0,0,1.21,1.89,25.82,23.43,0.94,0.99,1.57,0.26,3.09,0,#075,S563_AD3,212.67,1.2229,1.2266,17.50,21.9,531.00,546.49,6.90,545.37,11.51,4.48,0.96,22.24,91.13,0.71,57.99
362,1/5/2023,AD4,Control,Control,61,10,SteadyState,,,,,,,,S528_AD4,20276,1162.5,22.12749193,66.72374255,,,,,571.419,S570_AD4,34.579,5.909,5.262,6.6,0.17,6.22,1.06,0.95,S534_AD4,0,0,0.68,1.29,65.54,24.12,1.19,1.08,1.83,0.32,2.86,0,#076,S564_AD4,157.67,0.992,1.0381,12.98,16.2,474.00,483.24,4.96,484.01,10.87,4.31,0.97,31.66,79.49,0.70,98.23
363,1/5/2023,AD5,Treatment,Treatment,61,10,SteadyState,,,,,,,,S529_AD5,20644,1100,25.07627933,66.1197939,70,3.1208261,433.9503268,0.8,4458.323,S571_AD5,32.92,5.966,5.236,6.3,0.18,5.93,1.07,0.94,S535_AD5,0,0,0.96,1.11,48.35,28.63,1.19,1.2,1.77,0.32,2.79,0,#077,S565_AD5,189.67,1.1757,1.2428,15.66,19.6,451.00,473.16,9.18,469.86,10.66,4.14,0.96,25.71,74.89,0.68,85.36
364,1/5/2023,AD6,Treatment,Treatment,61,10,SteadyState,,,,,,,,S530_AD6,20324.5,1100,20.01262831,66.64414606,70,2.8059192,390.1625771,0.8,4008.456,S572_AD6,33.082,5.484,5.405,6.1,0.17,6.19,1.03,1.01,S536_AD6,0,0,0.87,1.95,61.55,26.12,1.35,1.06,2.12,0.31,14.3,0.15,#078,S566_AD6,201.33,1.2729,1.2273,16.69,20.9,444.00,454.16,5.46,453.55,10.46,4.40,0.96,24.36,73.49,0.72,108.91
371,3/5/2023,AD1,Control,Control,63,10,Glycerol,S627_AD1,1.9,72.4,1.38,52.7230591,S621_AD1,7.09,S591_AD1,18057.5,,,70.36466665,69,2.83003776,393.5162586,1.2,4101.504,S639_AD1,36.498,5.586,5.353,6.8,0.15,6.93,1.06,1.02,S651_AD1,0,0,0.85,1.02,39.66,41.38,1.47,1.8,4.28,0.56,8.46,0,#079,S633_AD1,204.5,1.7912,1.5344,20.87,20.9,538.00,547.00,4.85,547.29,11.57,4.51,0.96,27.50,92.58,0.72,
372,3/5/2023,AD2,Treatment,Treatment,63,10,Glycerol,S628_AD2,1.93,73.01,1.41,50.39397451,S622_AD2,6.7,S592_AD2,22901.5,,,62.41486437,65,4.46896125,621.4082851,1.6,6875.325,S640_AD2,34.502,5.808,5.759,6,0.17,6.66,1.12,1.11,S652_AD2,0,0,0.86,0.54,56.82,320.16,10.49,13.22,9.8,8.72,3.64,2.96,#080,S634_AD2,223,1.5706,1.6261,23.20,23.2,432.00,440.82,4.90,441.06,10.39,4.20,0.96,27.78,71.12,0.69,
373,3/5/2023,AD3,Control,Control,63,10,Glycerol,S629_AD3,1.94,70.68,1.4,50.39397451,S623_AD3,7.13,S593_AD3,21797,,,64.22753089,70,3.0298114,421.2947486,1.1,4328.302,S641_AD3,35.186,5.503,5.774,6.1,0.16,6.83,1.07,1.12,S653_AD3,0,0,1.03,2.27,28.78,31.18,1.54,1.43,1.83,0.23,2.71,0,#081,S635_AD3,267,1.856,1.829,26.10,26.1,541.00,550.09,5.03,549.17,11.58,4.71,0.97,32.71,93.21,0.75,
374,3/5/2023,AD4,Control,Control,63,10,Glycerol,S630_AD4,1.8,69.13,1.25,56.54692932,S624_AD4,7.09,S594_AD4,18096.5,,,70.30066123,70,0.3546424,49.31296408,3.1,506.632,S642_AD4,34.961,5.591,5.269,6.6,0.16,6.29,1.01,0.95,S654_AD4,0,0,1.16,2.32,65.27,42.65,1.85,2.01,2.45,0.49,6.65,0.91,#082,S636_AD4,212,1.825,1.7045,21.31,21.3,525.00,539.48,6.50,539.41,11.43,4.35,0.97,31.34,89.89,0.69,
